,chr,start,end,20M_mix_Bmap_CLBGA_0_rep1,20M_mix_Bmap_CLBGA_100_rep1,20M_mix_Bmap_CLBGA_25_rep1,20M_mix_Bmap_CLBGA_10_rep1,20M_mix_Bmap_CLBGA_50_rep1
31,1,901954,902046,0.0476,0.8211,0.2051,0.0833,0.352
32,1,902047,902107,0.0067,0.1238,0.048,0.0154,0.1037
33,1,902116,902175,0.0,0.2778,0.058,0.02,0.1111
34,1,902438,902504,0.0,0.0,0.0,0.0,0.0
35,1,906297,906394,0.0811,0.0568,0.068,0.0672,0.0694
36,1,907038,907117,0.7733,0.8214,0.7895,0.8056,0.8077
37,1,911470,911539,0.0,0.0,0.0,0.0,0.0
38,1,914508,914570,0.9277,0.7597,0.8975,0.912,0.8676
39,1,914693,914763,0.8944,0.5333,0.8375,0.8833,0.7913
40,1,916058,916114,0.8571,0.168,0.8222,0.8281,0.6227
41,1,933516,933552,0.0933,0.4167,0.12,0.1161,0.2483
42,1,933655,933711,0.0769,0.1971,0.1141,0.0764,0.1372
43,1,933712,933756,0.043,0.0588,0.0389,0.0376,0.0467
44,1,934205,934265,0.0286,0.0,0.0253,0.0294,0.0051
45,1,934469,934508,0.0122,0.0222,0.0182,0.0136,0.017
46,1,934637,934708,0.0048,0.0,0.0,0.0049,0.0
47,1,935043,935155,0.0364,0.2727,0.0404,0.0404,0.1023
48,1,935300,935335,0.0333,0.33,0.1259,0.0667,0.1917
49,1,935378,935462,0.0,0.0062,0.0037,0.0035,0.0048
50,1,935463,935533,0.0,0.0303,0.0,0.0,0.0224
51,1,935534,935617,0.0,0.0,0.0,0.0,0.0
52,1,935618,935695,0.0114,0.0331,0.0455,0.0101,0.0413
53,1,936210,936270,0.0213,0.0125,0.0222,0.0213,0.025
54,1,936515,936578,0.0,0.2375,0.0667,0.0348,0.1
55,1,937121,937235,0.012,0.0417,0.0316,0.0316,0.0282
56,1,950711,950786,0.9385,0.8,0.904,0.9385,0.8909
57,1,953839,953931,0.975,0.9412,0.975,0.9765,0.9667
58,1,955087,955154,0.0,0.0,0.0,0.0,0.0
59,1,955229,955260,0.02,0.0148,0.0261,0.02,0.0182
60,1,955572,955626,0.0053,0.0,0.0,0.0053,0.0
61,1,955772,955802,0.0,0.0,0.0,0.0,0.0
62,1,968886,968923,0.0,0.0321,0.0101,0.0,0.0143
63,1,969237,969305,0.0,0.0,0.0,0.0,0.0
64,1,969547,969581,0.0319,0.0,0.0417,0.036,0.0
65,1,975517,975579,0.0593,0.0273,0.0552,0.0552,0.0286
66,1,975833,975880,0.0,0.0,0.0051,0.0053,0.0
67,1,976959,977033,0.9464,0.9615,0.9583,0.9531,0.95
68,1,979410,979501,0.9939,0.9167,0.9933,0.9879,0.9667
69,1,986783,986863,0.9385,0.9853,0.9417,0.9308,0.9559
70,1,994504,994598,0.0,0.0,0.0,0.0,0.0
71,1,994599,994657,0.0,0.3646,0.0625,0.0124,0.1771
72,1,994825,994893,0.0045,0.0,0.0074,0.0057,0.0069
73,1,995033,995095,0.0,0.0139,0.0,0.0,0.0057
74,1,995132,995169,0.008,0.0167,0.0077,0.0083,0.0083
75,1,1002619,1002732,0.9746,0.8621,0.9459,0.9621,0.9429
76,1,1002733,1002765,0.9527,0.9785,0.9606,0.951,0.9603
77,1,1004790,1004877,0.0,0.0,0.0,0.0,0.0
78,1,1005190,1005261,0.3925,0.0125,0.3291,0.3987,0.2721
79,1,1017406,1017457,0.973,0.9677,0.9688,0.9722,0.9792
80,1,1018105,1018173,0.9689,0.9762,0.9682,0.9674,0.9695
81,1,1018229,1018299,0.9533,1.0,0.9565,0.95,0.9545
82,1,1051321,1051371,0.0133,0.0057,0.015,0.0143,0.0143
83,1,1051575,1051639,0.0,0.0278,0.0064,0.0,0.0119
84,1,1051763,1051795,0.0,0.0105,0.0,0.0,0.0
85,1,1051875,1052016,0.0,0.0,0.0,0.0,0.0
86,1,1052116,1052186,0.0048,0.0,0.0052,0.0052,0.006
87,1,1072469,1072513,0.0385,0.1,0.04,0.048,0.0621
88,1,1080084,1080155,0.4253,0.0,0.2933,0.3563,0.1885
89,1,1093308,1093398,0.0214,0.0,0.0182,0.0258,0.0138
90,1,1099388,1099461,0.9421,0.12,0.8667,0.8923,0.7391
91,1,1099958,1100031,0.8304,0.1818,0.6813,0.7768,0.5
92,1,1100032,1100090,0.7135,0.0308,0.5875,0.7056,0.5077
93,1,1114876,1114969,0.875,0.4074,0.7544,0.8106,0.7812
94,1,1118399,1118444,0.0552,0.0138,0.0333,0.0519,0.037
95,1,1133025,1133071,0.9457,0.3882,0.8991,0.9412,0.7636
96,1,1136457,1136585,0.0,0.0526,0.0208,0.0,0.0263
97,1,1136734,1136770,0.008,0.02,0.0231,0.0077,0.024
98,1,1136771,1136809,0.0067,0.0733,0.0133,0.0104,0.0265
99,1,1136829,1136895,0.0053,0.0308,0.0188,0.0167,0.0214
100,1,1136896,1137000,0.0,0.1053,0.0351,0.015,0.0526
101,1,1141766,1141799,0.0056,0.1333,0.0069,0.0065,0.0182
102,1,1141800,1141854,0.0136,0.0057,0.0,0.011,0.0
103,1,1142532,1142631,0.375,0.0,0.3229,0.3519,0.2812
104,1,1152718,1152779,0.9688,0.9375,0.976,0.9758,0.9491
105,1,1152852,1152884,0.9583,0.9815,0.9444,0.9518,0.9679
106,1,1155773,1155871,0.8947,0.9296,0.8842,0.8824,0.9186
107,1,1157522,1157589,0.8692,0.9899,0.8778,0.8636,0.9293
108,1,1159422,1159495,0.9375,0.9796,0.9722,0.9474,0.9608
109,1,1163629,1163717,0.9778,1.0,0.9889,0.9744,1.0
110,1,1167218,1167255,0.0,0.0069,0.0,0.0,0.0
111,1,1167305,1167338,0.0,0.0,0.0,0.0,0.0
112,1,1167431,1167514,0.0,0.0,0.0,0.0,0.0
113,1,1167557,1167601,0.0069,0.0,0.0065,0.0065,0.0
114,1,1167602,1167627,0.0,0.0,0.0,0.0,0.0
115,1,1167766,1167917,0.0,0.0156,0.0,0.0,0.0
116,1,1167918,1167954,0.0,0.0556,0.0196,0.0,0.0222
117,1,1168687,1168728,0.9792,0.9667,0.9735,0.9787,0.9573
118,1,1168729,1168777,0.8793,0.8782,0.8731,0.873,0.8698
119,1,1168810,1168869,0.9647,1.0,0.9613,0.96,0.9857
120,1,1178403,1178492,0.951,0.475,0.871,0.9028,0.7258
121,1,1181725,1181790,0.1385,0.0462,0.0923,0.1231,0.0769
122,1,1182135,1182179,0.0,0.0095,0.0,0.0,0.0
123,1,1182215,1182247,0.0081,0.0115,0.009,0.0044,0.0085
124,1,1182396,1182447,0.1096,0.0215,0.119,0.1096,0.0952
125,1,1189466,1189562,0.9818,0.9848,0.9773,0.9773,0.9848
126,1,1208858,1208906,0.0,0.0036,0.0,0.0,0.004
127,1,1208907,1208966,0.0,0.0079,0.0,0.0,0.0
128,1,1209020,1209102,0.0119,0.0,0.0089,0.0079,0.0071
129,1,1209103,1209154,0.006,0.0,0.0062,0.0065,0.0084
130,1,1209349,1209404,0.0,0.0,0.0,0.0,0.0
131,1,1222895,1222962,0.9261,0.5286,0.9,0.915,0.808
132,1,1228868,1228909,0.98,0.9913,0.9829,0.9795,0.975
133,1,1242847,1242938,0.0,0.0,0.0,0.0,0.0
134,1,1242982,1243020,0.0154,0.0,0.0091,0.0118,0.0087
135,1,1243261,1243304,0.0,0.0,0.0,0.0,0.0
136,1,1243305,1243348,0.025,0.0062,0.0188,0.0234,0.0221
137,1,1243453,1243497,0.0,0.0,0.0,0.0,0.0
138,1,1243780,1243824,0.0,0.0,0.0,0.0,0.0
139,1,1243852,1243919,0.0,0.0,0.0,0.0,0.0
140,1,1244140,1244265,0.0,0.0,0.0,0.0,0.0
141,1,1244531,1244585,0.0,0.0,0.0,0.0,0.009
142,1,1244586,1244643,0.0182,0.0226,0.0125,0.0118,0.0216
143,1,1245147,1245175,0.888,0.7556,0.8564,0.8875,0.8114
144,1,1248089,1248155,0.9369,0.945,0.9542,0.9524,0.9545
145,1,1259842,1259908,0.0,0.0,0.0,0.0,0.0
146,1,1259944,1260005,0.0,0.0,0.0,0.0,0.0
147,1,1260006,1260068,0.0,0.0,0.0,0.0,0.0
148,1,1263346,1263450,0.8161,0.8409,0.8309,0.8214,0.8167
149,1,1267850,1267953,0.7818,0.9667,0.8333,0.8154,0.8667
150,1,1268928,1268984,0.9075,0.9127,0.9162,0.9015,0.9231
151,1,1271750,1271851,0.9457,0.9565,0.9535,0.96,0.9535
152,1,1271978,1272043,0.944,0.9412,0.9231,0.9379,0.9292
153,1,1272477,1272561,0.9792,0.9825,0.9848,0.9853,0.9844
154,1,1273753,1273821,0.9778,0.9189,0.9263,0.9583,0.925
155,1,1280871,1280936,0.9306,0.8923,0.9236,0.9396,0.9167
156,1,1284061,1284175,0.0087,0.0,0.0061,0.0068,0.0086
157,1,1284488,1284535,0.0,0.0,0.0,0.0,0.0
158,1,1284536,1284574,0.0139,0.0,0.0145,0.0152,0.0
159,1,1284617,1284673,0.0,0.0,0.0,0.0,0.0
160,1,1285098,1285180,0.0,0.0093,0.0055,0.0,0.0093
161,1,1285181,1285276,0.0,0.0,0.0,0.0,0.0
162,1,1289948,1290012,0.2048,0.0465,0.1767,0.2095,0.1364
163,1,1290424,1290527,0.1923,0.026,0.2,0.1923,0.1169
164,1,1290528,1290565,0.0192,0.0179,0.0186,0.0196,0.0238
165,1,1290965,1291011,0.0,0.0104,0.0,0.0,0.0072
166,1,1295476,1295564,0.8247,0.9273,0.8345,0.8377,0.8532
167,1,1310413,1310449,0.0,0.0,0.0,0.0,0.0
168,1,1321786,1321868,0.8462,0.9714,0.9077,0.8462,0.9167
169,1,1322734,1322782,0.8613,0.8831,0.8621,0.8611,0.8636
170,1,1334374,1334421,0.0,0.0,0.0,0.0,0.0
171,1,1334864,1334915,0.0,0.0,0.0,0.0,0.0
172,1,1341985,1342061,0.0278,0.0286,0.0345,0.0294,0.032
173,1,1342201,1342261,0.0037,0.0,0.004,0.0038,0.0
174,1,1342274,1342391,0.016,0.0,0.0187,0.016,0.0
175,1,1355411,1355486,0.0966,0.0,0.0889,0.0926,0.0247
176,1,1355487,1355586,0.0,0.0,0.0,0.0,0.0141
177,1,1355587,1355686,0.0202,0.0847,0.0354,0.0389,0.0335
178,1,1355693,1355769,0.0052,0.038,0.0179,0.0109,0.0186
179,1,1355770,1355867,0.1264,0.2017,0.1419,0.1287,0.1899
180,1,1355885,1355957,0.4,0.1837,0.2976,0.4018,0.2078
181,1,1363066,1363106,0.0071,0.0533,0.0077,0.0071,0.0353
182,1,1363124,1363169,0.0077,0.0294,0.0133,0.0067,0.0056
183,1,1363236,1363290,0.019,0.0286,0.0364,0.0364,0.0286
184,1,1370826,1370940,0.0,0.0,0.0,0.0,0.0
185,1,1370941,1370972,0.0087,0.025,0.0095,0.0077,0.019
186,1,1370973,1371027,0.0054,0.0,0.0054,0.0051,0.0065
187,1,1371225,1371291,0.0075,0.0,0.0084,0.0071,0.0
188,1,1371326,1371405,0.0043,0.03,0.0152,0.0157,0.0259
189,1,1374653,1374737,0.875,0.425,0.7768,0.8039,0.7159
190,1,1375013,1375141,0.9444,0.1852,0.4722,0.7222,0.1481
191,1,1375269,1375300,0.7931,0.0696,0.6,0.6929,0.464
192,1,1407173,1407233,0.0,0.0,0.0,0.0,0.0
193,1,1407234,1407344,0.0,0.0,0.0,0.0,0.0
194,1,1407423,1407516,0.0,0.0,0.0,0.0,0.0
195,1,1446931,1446992,0.0,0.0066,0.0,0.0,0.0062
196,1,1447557,1447617,0.0,0.0,0.0,0.0,0.0
197,1,1447618,1447728,0.0,0.0,0.0,0.0,0.0
198,1,1447807,1447900,0.0,0.0,0.0,0.0,0.0
199,1,1449135,1449201,0.933,0.9214,0.9429,0.9471,0.9388
200,1,1455586,1455704,1.0,0.9545,0.9812,1.0,0.9625
201,1,1470944,1470980,0.9621,0.9838,0.955,0.9563,0.9683
202,1,1471523,1471580,0.9,0.9571,0.913,0.9,0.9024
203,1,1475245,1475284,0.0562,0.0154,0.0538,0.0621,0.0444
204,1,1475285,1475363,0.024,0.05,0.0167,0.0231,0.0316
205,1,1475785,1475862,0.0042,0.0,0.0059,0.0048,0.0
206,1,1475941,1476019,0.0025,0.0084,0.0049,0.0069,0.0046
207,1,1476255,1476324,0.4706,0.831,0.5125,0.5125,0.5495
208,1,1509656,1509749,0.0,0.0083,0.0,0.0,0.0072
209,1,1510056,1510109,0.0,0.0117,0.0,0.0,0.0
210,1,1510110,1510165,0.0043,0.0,0.0033,0.0038,0.0
211,1,1535195,1535317,0.0,0.0,0.0,0.0,0.0
212,1,1535478,1535543,0.0,0.0,0.0,0.0,0.0
213,1,1535544,1535597,0.0,0.0,0.0,0.0,0.0
214,1,1535728,1535797,0.0098,0.0,0.0104,0.0093,0.0128
215,1,1535798,1535902,0.0134,0.0179,0.006,0.0102,0.0179
216,1,1551260,1551299,0.0111,0.0,0.0,0.0128,0.0
217,1,1551305,1551368,0.0156,0.0125,0.0167,0.0167,0.0139
218,1,1551415,1551459,0.0123,0.0131,0.0139,0.0159,0.0123
219,1,1551521,1551572,0.0,0.0,0.0,0.0,0.0
220,1,1551642,1551681,0.0,0.0,0.0,0.0,0.0
221,1,1551748,1551801,0.0054,0.0062,0.0057,0.0051,0.0123
222,1,1558541,1558621,0.9528,0.9714,0.9677,0.9717,0.9515
223,1,1559030,1559113,0.9447,0.9222,0.9552,0.9438,0.975
224,1,1562325,1562366,0.985,0.9822,0.9941,0.9892,0.9941
225,1,1562946,1563011,0.5,0.7692,0.5818,0.5738,0.6308
226,1,1564731,1564793,0.1801,0.816,0.2819,0.2291,0.3311
227,1,1564794,1564856,0.12,0.9537,0.3066,0.2263,0.4121
228,1,1564857,1564961,0.1053,0.9474,0.1845,0.1513,0.3593
229,1,1566130,1566196,0.068,0.873,0.2786,0.1746,0.4966
230,1,1566825,1566904,0.1143,0.6,0.2526,0.2,0.3429
231,1,1567269,1567372,0.0152,0.2407,0.0741,0.0741,0.1042
232,1,1567543,1567631,0.0071,0.0133,0.0126,0.0148,0.0081
233,1,1567632,1567711,0.0123,0.0392,0.019,0.012,0.0202
234,1,1567781,1567867,0.0312,0.3958,0.1552,0.1094,0.2615
235,1,1592168,1592240,0.9312,0.9333,0.9611,0.9548,0.9812
236,1,1598708,1598775,0.9845,0.97,0.9856,0.9845,0.9769
237,1,1609009,1609076,0.8397,0.9648,0.9048,0.8526,0.9243
238,1,1709628,1709710,0.0,0.0,0.0,0.0,0.0
239,1,1709711,1709766,0.0,0.0,0.0,0.0,0.0
240,1,1709767,1709858,0.0174,0.0,0.0095,0.0217,0.0101
241,1,1710208,1710261,0.0049,0.0,0.0065,0.0052,0.0076
242,1,1710262,1710305,0.0056,0.0,0.0064,0.006,0.0083
243,1,1714001,1714082,0.022,0.9774,0.1491,0.0971,0.3214
244,1,1819147,1819213,0.9643,0.9636,0.9508,0.9658,0.9402
245,1,1821586,1821690,0.0083,0.0,0.0,0.0069,0.0
246,1,1821691,1821733,0.0068,0.0,0.0075,0.0062,0.0075
247,1,1821734,1821786,0.0,0.0,0.0,0.0,0.0
248,1,1821787,1821829,0.0,0.0,0.0,0.0,0.0
249,1,1821830,1821863,0.0,0.0,0.0,0.0,0.0
250,1,1821864,1821902,0.0,0.0,0.0,0.0,0.0
251,1,1821953,1821999,0.0,0.006,0.0,0.0,0.0
252,1,1822040,1822105,0.0,0.0,0.0,0.0,0.0
253,1,1822106,1822137,0.0,0.0,0.0,0.0143,0.0
254,1,1822375,1822418,0.0,0.0,0.0,0.0,0.0
255,1,1822754,1822812,0.0,0.0,0.0,0.0,0.0
256,1,1840100,1840217,0.0111,0.0333,0.025,0.0125,0.0222
257,1,1850461,1850548,0.0,0.0519,0.0,0.0,0.0357
258,1,1851255,1851316,0.0864,0.0119,0.0788,0.083,0.0569
259,1,1935191,1935239,0.0254,0.0,0.0246,0.0306,0.0194
260,1,1935240,1935294,0.0307,0.0132,0.0137,0.0347,0.0175
261,1,1935325,1935371,0.01,0.0189,0.0202,0.0104,0.022
262,1,1935378,1935450,0.0296,0.0556,0.0317,0.0238,0.0131
263,1,1950545,1950582,0.036,0.0694,0.0385,0.04,0.0511
264,1,1950818,1950877,0.0028,0.1375,0.0259,0.0103,0.0655
265,1,1951107,1951161,0.0152,0.0494,0.0234,0.0196,0.0193
266,1,1951162,1951219,0.0471,0.0471,0.06,0.0421,0.06
267,1,1951220,1951255,0.0381,0.3154,0.113,0.04,0.2077
268,1,1953038,1953108,0.9388,0.0857,0.8739,0.9365,0.6723
269,1,1957219,1957280,0.6091,0.0,0.5698,0.6283,0.4375
270,1,1976225,1976286,0.0,0.0,0.0,0.0,0.0
271,1,1976336,1976381,0.0,0.0062,0.0,0.0,0.0
272,1,1976382,1976481,0.0,0.0,0.0,0.0,0.0
273,1,1976547,1976644,0.0471,0.0,0.0421,0.0426,0.0345
274,1,1981611,1981723,0.0,0.0833,0.0208,0.0056,0.037
275,1,1981724,1981798,0.0055,0.7937,0.0884,0.0423,0.2571
276,1,1981799,1981875,0.0,0.6182,0.0,0.1136,0.6667
277,1,1981876,1981922,0.0093,0.0248,0.013,0.0103,0.0364
278,1,1981943,1982023,0.011,0.4231,0.1538,0.0769,0.2115
279,1,1982033,1982083,0.0,0.2143,0.0079,0.0,0.0714
280,1,1982261,1982341,0.0062,0.1833,0.0083,0.0067,0.0312
281,1,1982348,1982390,0.0,0.0583,0.0123,0.0,0.0172
282,1,2005196,2005253,0.9248,0.0,0.6719,0.8571,0.4038
283,1,2126148,2126200,0.0,0.0,0.0,0.0,0.0
284,1,2135960,2136043,0.0,0.0,0.0,0.0,0.0
285,1,2136909,2136953,0.0,0.9333,0.3372,0.1379,0.5591
286,1,2136954,2137130,0.0333,0.9889,0.5222,0.3556,0.5222
287,1,2137136,2137185,0.1429,1.0,0.2198,0.2041,0.3
288,1,2137257,2137317,0.275,0.8737,0.575,0.4222,0.8364
289,1,2147513,2147598,0.9916,0.9351,0.9947,0.9949,0.9929
290,1,2158481,2158523,0.0595,0.0,0.0435,0.052,0.0435
291,1,2158781,2158890,0.0,0.0,0.0,0.0,0.0
292,1,2159102,2159206,0.0034,0.0,0.0036,0.0034,0.0
293,1,2159259,2159288,0.0,0.0,0.0,0.0,0.0
294,1,2159401,2159462,0.0133,0.0,0.0111,0.0167,0.0
295,1,2159494,2159576,0.01,0.0,0.005,0.01,0.0
296,1,2159672,2159732,0.0,0.0,0.0,0.0,0.0
297,1,2159733,2159765,0.0067,0.0,0.0076,0.0076,0.0064
298,1,2159766,2159812,0.0,0.0,0.0,0.0,0.0
299,1,2159813,2159843,0.0051,0.0,0.0062,0.0056,0.0
300,1,2159844,2159883,0.0106,0.0,0.0117,0.0097,0.0062
301,1,2159909,2159939,0.0,0.0,0.0,0.0,0.0
302,1,2159940,2159981,0.0,0.0077,0.0,0.0,0.0083
303,1,2159988,2160050,0.0,0.0,0.0,0.0,0.0
304,1,2160051,2160083,0.0,0.0,0.0,0.0,0.0
305,1,2160195,2160248,0.0,0.0,0.0,0.0,0.0
306,1,2160309,2160386,0.0101,0.0,0.0114,0.0114,0.013
307,1,2160393,2160465,0.0,0.04,0.0,0.0,0.0111
308,1,2205390,2205497,0.9899,0.9643,1.0,1.0,0.9868
309,1,2229596,2229689,0.9683,0.9867,0.9744,0.9726,0.9863
310,1,2237633,2237748,0.9481,0.9872,0.961,0.9545,0.9681
311,1,2237799,2237898,0.9821,0.932,0.967,0.961,0.9756
312,1,2237899,2237966,0.9355,0.9775,0.9365,0.9337,0.9565
313,1,2237967,2238057,0.9545,0.9904,0.955,0.9545,0.9674
314,1,2238058,2238099,0.988,0.9871,0.9792,0.988,0.9789
315,1,2246121,2246157,0.0,0.0118,0.0053,0.0047,0.0069
316,1,2246310,2246349,0.0,0.0,0.0,0.0,0.0
317,1,2246817,2246899,0.0667,0.02,0.02,0.0615,0.0154
318,1,2249316,2249386,0.9798,0.9848,0.9881,0.9839,1.0
319,1,2249426,2249503,0.9818,0.9391,0.9667,0.9667,0.9652
320,1,2255925,2256028,0.9365,0.8333,0.9368,0.9292,0.974
321,1,2279931,2280011,0.9125,0.9467,0.8933,0.9125,0.8933
322,1,2282541,2282639,0.9913,0.9259,0.99,1.0,0.9857
323,1,2288140,2288233,0.9286,0.925,0.9067,0.9273,0.8933
324,1,2316410,2316465,0.9931,0.9833,0.9848,0.9924,0.9833
325,1,2316472,2316546,0.9459,0.9242,0.9583,0.9503,0.9506
326,1,2323100,2323157,0.0,0.0,0.0,0.0,0.0
327,1,2323456,2323497,0.0,0.0,0.0,0.0,0.0
328,1,2323522,2323592,0.0,0.0,0.0,0.0,0.0
329,1,2323593,2323661,0.0,0.0,0.0,0.0,0.0083
330,1,2333599,2333710,0.9,0.96,0.95,0.8889,0.95
331,1,2343707,2343809,0.0,0.0,0.0,0.0,0.0
332,1,2343820,2343914,0.0051,0.0,0.0,0.0,0.0058
333,1,2343933,2343975,0.0,0.0,0.0,0.0,0.0
334,1,2344448,2344514,0.0,0.0037,0.0029,0.003,0.0029
335,1,2344561,2344622,0.0222,0.0,0.025,0.024,0.02
336,1,2365427,2365498,0.7679,0.2576,0.7067,0.7692,0.6467
337,1,2372669,2372770,0.9407,0.625,0.9279,0.9225,0.8611
338,1,2374935,2375028,0.012,0.1683,0.012,0.025,0.0441
339,1,2375098,2375124,0.0222,0.0,0.019,0.0222,0.019
340,1,2411366,2411456,0.9615,1.0,0.9386,0.9545,0.9444
341,1,2426333,2426390,0.9432,0.78,0.9247,0.9242,0.9017
342,1,2433641,2433704,0.9321,0.9388,0.9344,0.9268,0.9217
343,1,2436249,2436368,0.84,0.7778,0.8,0.8182,0.7778
344,1,2449577,2449626,0.9902,0.9478,0.9889,0.9857,0.9793
345,1,2455133,2455225,0.7689,0.9643,0.8,0.7766,0.7905
346,1,2457851,2457881,0.0139,0.0,0.0145,0.0139,0.0175
347,1,2460813,2460903,0.0,0.1071,0.0446,0.0397,0.0536
348,1,2460904,2461000,0.0,0.0252,0.0098,0.0,0.0294
349,1,2461001,2461039,0.0041,0.0272,0.0153,0.0046,0.0179
350,1,2461171,2461237,0.0,0.0359,0.0,0.0,0.0
351,1,2461238,2461271,0.0044,0.0,0.005,0.0046,0.0053
352,1,2461643,2461687,0.0035,0.0057,0.0,0.0035,0.0037
353,1,2461705,2461761,0.0145,0.0929,0.019,0.0115,0.0412
354,1,2461762,2461800,0.0069,0.0,0.0069,0.0069,0.0
355,1,2472167,2472197,0.0103,0.0138,0.0143,0.014,0.0167
356,1,2477774,2477847,0.0,0.0,0.0,0.0,0.0
357,1,2478166,2478220,0.0,0.0,0.0052,0.0,0.0074
358,1,2518524,2518576,0.0,0.0175,0.0111,0.0,0.0104
359,1,2560169,2560266,0.0084,0.0,0.012,0.0096,0.009
360,1,2560267,2560349,0.0429,0.05,0.02,0.0182,0.0
361,1,2560467,2560537,0.0727,0.2424,0.0727,0.0727,0.1818
362,1,2560538,2560620,0.0303,0.0238,0.0208,0.0238,0.0123
363,1,2573183,2573315,0.9825,0.78,0.9762,0.9808,0.8723
364,1,2574188,2574254,0.0035,0.0069,0.0083,0.0069,0.01
365,1,2574556,2574651,0.0,0.0,0.0,0.0,0.0
366,1,2706053,2706109,0.0331,0.3429,0.1228,0.0526,0.175
367,1,2706349,2706410,0.0498,0.022,0.0327,0.0338,0.0417
368,1,2706524,2706593,0.0284,0.0037,0.0289,0.026,0.0255
369,1,2706637,2706742,0.0323,0.0062,0.032,0.0354,0.0174
370,1,2706851,2706959,0.2691,0.0,0.2605,0.2717,0.277
371,1,2716796,2716880,0.9577,0.0833,0.8029,0.8744,0.6685
372,1,2772489,2772541,0.8878,0.0385,0.7989,0.8587,0.7302
373,1,2847220,2847286,0.9278,0.0769,0.8267,0.9,0.6957
374,1,2928481,2928620,0.9821,0.1071,0.6623,0.9821,0.4286
375,1,2929216,2929305,0.0306,0.0816,0.022,0.0238,0.033
376,1,2946962,2947066,0.9487,0.0,0.8058,0.8818,0.5938
377,1,2979276,2979348,0.9242,0.0238,0.8162,0.9185,0.7206
378,1,2980094,2980162,0.9254,0.7381,0.8558,0.8934,0.8101
379,1,2984735,2984774,0.0,0.0069,0.0,0.0,0.0051
380,1,2985121,2985209,0.1224,0.0,0.092,0.1224,0.0
381,1,2985210,2985277,0.0,0.019,0.0077,0.0,0.016
382,1,2985278,2985365,0.0152,0.026,0.0307,0.0219,0.0292
383,1,2985366,2985437,0.0069,0.0051,0.0,0.0069,0.0
384,1,2985923,2985951,0.0038,0.0,0.0,0.0,0.0057
385,1,2986031,2986058,0.0042,0.28,0.0435,0.0093,0.0714
386,1,2986059,2986083,0.0,0.0952,0.0171,0.0105,0.037
387,1,2986440,2986519,0.0,0.039,0.0,0.0,0.0226
388,1,2986649,2986722,0.0,0.0,0.0,0.0,0.0
389,1,2986762,2986807,0.0105,0.0,0.0111,0.0105,0.0
390,1,2986808,2986837,0.0069,0.0095,0.0069,0.0065,0.0074
391,1,2986855,2986925,0.0,0.0138,0.0182,0.0056,0.0182
392,1,2986933,2986987,0.0119,0.0197,0.0114,0.0114,0.0179
393,1,2986988,2987022,0.0043,0.0224,0.01,0.0044,0.0057
394,1,2987023,2987130,0.0,0.0148,0.0042,0.0037,0.0
395,1,2987131,2987184,0.0,0.0048,0.0071,0.0,0.006
396,1,2987246,2987307,0.0021,0.0,0.0024,0.0022,0.0
397,1,2987308,2987386,0.0,0.0286,0.0,0.0,0.0
