chr	start	end	20M_mix_Bmap_CLBGA_0_rep1_meth	20M_mix_Bmap_CLBGA_0_rep1_depth	20M_mix_Bmap_CLBGA_10_rep1_meth	20M_mix_Bmap_CLBGA_10_rep1_depth	20M_mix_Bmap_CLBGA_25_rep1_meth	20M_mix_Bmap_CLBGA_25_rep1_depth	20M_mix_Bmap_CLBGA_50_rep1_meth	20M_mix_Bmap_CLBGA_50_rep1_depth	20M_mix_Bmap_CLBGA_100_rep1_meth	20M_mix_Bmap_CLBGA_100_rep1_depth	chr	start	end	healthy_meth	healthy_depth	nbl_meth	nbl_depth
10	88392026	88392094	1.0	145.0	25.0	165.0	81	200	136	250	222	255	10	88392026	88392094	0.0	435.0	1391.0	1591.0
10	94180451	94180521	12.0	228.0	31.0	229.0	59	243	128	257	211	224	10	94180451	94180521	17.0	336.0	1578.0	1703.0
10	102807849	102807923	11.0	90.0	18.0	80.0	41	100	59	95	117	120	10	102807849	102807923	55.0	255.0	869.0	890.0
10	105344631	105344692	25.0	330.0	74.0	352.0	125	371	307	434	502	510	10	105344631	105344692	69.0	760.0	848.0	868.0
10	120353936	120353982	25.0	174.0	98.0	236.0	180	314	272	386	479	500	10	120353936	120353982	97.0	540.0	2336.0	2389.0
10	126840374	126840422	23.0	148.0	51.0	161.0	95	184	152	238	199	220	10	126840374	126840422	94.0	547.0	1382.0	1444.0
10	134597818	134597914	4.0	42.0	10.0	49.0	30	63	75	98	131	133	10	134597818	134597914	23.0	329.0	589.0	659.0
10	134598092	134598132	12.0	150.0	28.0	161.0	78	191	103	176	246	252	10	134598092	134598132	9.0	380.0	921.0	1049.0
10	135048908	135048973	4.0	150.0	4.0	156.0	4	138	6	132	2	120	10	135048908	135048973	0.0	462.0	76.0	812.0
10	135259986	135260031	128.0	210.0	110.0	185.0	159	225	228	275	301	310	10	135259986	135260031	359.0	545.0	1519.0	1560.0
11	370181	370258	18.0	128.0	17.0	128.0	15	152	9	152	0	120	11	370181	370258	93.0	472.0	14.0	1064.0
11	430249	430333	114.0	120.0	101.0	110.0	78	96	65	81	2	50	11	430249	430333	221.0	234.0	26.0	387.0
11	608946	609017	123.0	161.0	136.0	167.0	149	179	214	241	216	221	11	608946	609017	263.0	378.0	1146.0	1221.0
11	627356	627442	14.0	118.0	34.0	118.0	83	162	97	143	157	165	11	627356	627442	44.0	458.0	229.0	249.0
11	1578143	1578183	62.0	132.0	98.0	168.0	124	174	197	230	412	420	11	1578143	1578183	192.0	660.0	1922.0	1964.0
11	1578184	1578241	35.0	216.0	70.0	243.0	113	252	256	342	507	513	11	1578184	1578241	123.0	737.0	1243.0	1276.0
11	2883698	2883770	18.0	158.0	20.0	144.0	27	144	86	175	143	149	11	2883698	2883770	78.0	490.0	659.0	675.0
11	62694679	62694763	14.0	184.0	34.0	191.0	68	159	137	213	249	280	11	62694679	62694763	28.0	456.0	740.0	796.0
11	64480232	64480280	0.0	165.0	14.0	167.0	27	146	64	162	146	169	11	64480232	64480280	3.0	276.0	573.0	746.0
11	67803762	67803862	44.0	70.0	47.0	70.0	60	84	75	91	80	84	11	67803762	67803862	190.0	242.0	537.0	562.0
11	67806426	67806469	2.0	105.0	2.0	100.0	3	75	45	65	109	120	11	67806426	67806469	0.0	325.0	779.0	903.0
11	68778552	68778586	3.0	110.0	25.0	130.0	45	160	107	205	160	210	11	68778552	68778586	5.0	680.0	1161.0	1225.0
11	73053962	73053999	136.0	150.0	126.0	165.0	106	170	82	220	0	200	11	73053962	73053999	476.0	507.0	18.0	719.0
11	76849187	76849269	30.0	168.0	62.0	191.0	90	191	201	286	240	255	11	76849187	76849269	150.0	810.0	1497.0	1519.0
12	3948054	3948093	33.0	87.0	50.0	102.0	87	132	115	147	172	176	12	3948054	3948093	181.0	349.0	1085.0	1129.0
12	6184467	6184556	7.0	90.0	20.0	84.0	29	102	76	126	131	156	12	6184467	6184556	9.0	336.0	986.0	1032.0
12	6882913	6882973	19.0	246.0	37.0	258.0	37	216	54	198	130	136	12	6882913	6882973	31.0	336.0	1425.0	1477.0
12	38550244	38550331	138.0	199.0	118.0	184.0	109	169	77	154	0	70	12	38550244	38550331	176.0	259.0	11.0	423.0
12	38551844	38551925	159.0	164.0	141.0	150.0	129	140	101	140	9	80	12	38551844	38551925	292.0	323.0	7.0	315.0
12	38553016	38553120	138.0	160.0	121.0	140.0	94	130	53	84	0	34	12	38553016	38553120	208.0	240.0	29.0	383.0
12	49374247	49374313	0.0	55.0	0.0	55.0	2	60	4	85	7	100	12	49374247	49374313	0.0	445.0	97.0	509.0
12	49658345	49658374	0.0	70.0	28.0	90.0	50	101	119	177	223	263	12	49658345	49658374	1.0	370.0	3164.0	3303.0
12	49735757	49735842	11.0	261.0	24.0	261.0	56	261	102	225	216	252	12	49735757	49735842	19.0	387.0	2129.0	2342.0
12	50354938	50355026	39.0	152.0	57.0	176.0	51	144	85	176	103	125	12	50354938	50355026	65.0	431.0	999.0	1092.0
12	50355105	50355162	8.0	138.0	31.0	166.0	45	166	98	191	204	246	12	50355105	50355162	15.0	519.0	997.0	1174.0
12	52215819	52215891	53.0	145.0	60.0	160.0	77	170	125	200	211	220	12	52215819	52215891	222.0	500.0	856.0	889.0
12	52626748	52626845	17.0	78.0	27.0	84.0	30	84	43	78	64	66	12	52626748	52626845	28.0	156.0	773.0	804.0
12	52627103	52627172	12.0	136.0	31.0	156.0	40	160	101	190	199	210	12	52627103	52627172	17.0	222.0	594.0	637.0
12	52627173	52627252	1.0	160.0	1.0	160.0	41	170	160	250	346	350	12	52627173	52627252	13.0	570.0	1742.0	2044.0
12	53227337	53227434	104.0	110.0	100.0	115.0	71	85	53	65	12	30	12	53227337	53227434	200.0	205.0	193.0	285.0
12	54400459	54400515	6.0	97.0	40.0	117.0	59	116	65	95	151	158	12	54400459	54400515	32.0	381.0	1133.0	1307.0
12	56474209	56474281	2.0	189.0	20.0	190.0	30	234	64	269	124	381	12	56474209	56474281	10.0	882.0	861.0	1986.0
12	57869274	57869337	158.0	175.0	124.0	145.0	97	140	76	128	17	108	12	57869274	57869337	357.0	394.0	100.0	839.0
12	58014709	58014771	0.0	166.0	9.0	154.0	68	160	137	202	241	312	12	58014709	58014771	2.0	450.0	1164.0	1345.0
12	58131912	58131997	117.0	146.0	106.0	179.0	87	190	44	288	1	352	12	58131912	58131997	574.0	679.0	28.0	935.0
12	58131998	58132021	50.0	50.0	50.0	55.0	35	70	25	75	1	66	12	58131998	58132021	462.0	505.0	38.0	370.0
12	113013363	113013452	29.0	126.0	74.0	162.0	110	190	138	190	186	194	12	113013363	113013452	47.0	288.0	830.0	908.0
12	113515860	113515906	48.0	294.0	78.0	316.0	114	309	153	289	329	345	12	113515860	113515906	175.0	644.0	1917.0	2005.0
12	115173645	115173757	2.0	151.0	22.0	141.0	61	171	90	201	159	170	12	115173645	115173757	4.0	90.0	518.0	530.0
12	122016590	122016638	21.0	96.0	80.0	160.0	124	179	231	293	480	532	12	122016590	122016638	31.0	358.0	2342.0	2625.0
12	132908090	132908184	91.0	95.0	77.0	90.0	62	84	24	54	0	65	12	132908090	132908184	279.0	305.0	19.0	340.0
13	23500590	23500629	0.0	109.0	14.0	104.0	44	120	109	160	203	207	13	23500590	23500629	1.0	385.0	534.0	645.0
13	110434494	110434543	125.0	134.0	125.0	149.0	107	184	54	194	9	195	13	110434494	110434543	390.0	415.0	73.0	463.0
13	110436915	110436968	86.0	186.0	78.0	180.0	83	210	44	216	2	234	13	110436915	110436968	183.0	381.0	11.0	977.0
13	112770146	112770220	151.0	198.0	127.0	174.0	93	144	70	150	0	108	13	112770146	112770220	391.0	431.0	61.0	492.0
13	114524084	114524157	111.0	134.0	95.0	126.0	55	96	47	92	0	61	13	114524084	114524157	240.0	344.0	21.0	532.0
13	114875309	114875404	66.0	89.0	63.0	89.0	58	89	39	75	20	126	13	114875309	114875404	267.0	294.0	43.0	370.0
14	51339024	51339103	7.0	232.0	53.0	280.0	93	280	138	264	242	251	14	51339024	51339103	20.0	548.0	1157.0	1360.0
14	58863105	58863175	4.0	155.0	16.0	155.0	40	165	79	180	181	195	14	58863105	58863175	6.0	321.0	1091.0	1234.0
14	69095026	69095081	23.0	135.0	32.0	140.0	61	145	102	180	172	180	14	69095026	69095081	108.0	560.0	1299.0	1357.0
14	70039624	70039692	85.0	185.0	129.0	225.0	173	265	208	278	237	243	14	70039624	70039692	118.0	382.0	1047.0	1081.0
14	74057461	74057498	236.0	266.0	256.0	286.0	274	305	314	336	383	391	14	74057461	74057498	979.0	1150.0	3863.0	3943.0
14	77493139	77493226	114.0	260.0	97.0	260.0	90	270	69	280	7	220	14	77493139	77493226	203.0	500.0	13.0	1045.0
14	90991768	90991845	117.0	215.0	124.0	199.0	119	167	146	175	178	192	14	90991768	90991845	531.0	824.0	659.0	679.0
14	95826830	95826904	18.0	144.0	45.0	150.0	61	150	94	167	166	173	14	95826830	95826904	41.0	288.0	793.0	824.0
14	100784752	100784780	4.0	175.0	38.0	205.0	83	226	172	272	274	283	14	100784752	100784780	25.0	410.0	2896.0	3010.0
14	101158251	101158319	107.0	114.0	110.0	124.0	101	114	72	104	0	85	14	101158251	101158319	243.0	280.0	20.0	400.0
14	105189908	105189966	23.0	205.0	31.0	200.0	69	225	130	250	213	250	14	105189908	105189966	55.0	525.0	532.0	575.0
14	105202800	105202879	20.0	130.0	33.0	140.0	57	150	112	170	184	190	14	105202800	105202879	31.0	380.0	897.0	1094.0
14	105527491	105527568	23.0	143.0	41.0	155.0	52	156	89	150	176	222	14	105527491	105527568	22.0	389.0	1088.0	1323.0
14	105640967	105641023	17.0	114.0	23.0	102.0	63	149	74	119	163	179	14	105640967	105641023	37.0	288.0	877.0	940.0
14	105663219	105663292	1.0	174.0	19.0	184.0	30	149	79	148	142	156	14	105663219	105663292	1.0	270.0	765.0	800.0
14	106854856	106854939	230.0	276.0	203.0	252.0	161	228	154	252	2	204	14	106854856	106854939	373.0	468.0	104.0	1164.0
15	23892777	23892847	101.0	183.0	93.0	175.0	86	167	66	159	3	80	15	23892777	23892847	240.0	430.0	24.0	665.0
15	29967492	29967600	0.0	99.0	34.0	136.0	58	113	83	125	176	188	15	29967492	29967600	29.0	288.0	255.0	260.0
15	31775845	31775919	9.0	308.0	24.0	303.0	73	308	173	338	321	326	15	31775845	31775919	39.0	445.0	933.0	978.0
15	45328133	45328216	21.0	45.0	31.0	55.0	56	80	60	85	110	110	15	45328133	45328216	79.0	230.0	425.0	444.0
15	78111116	78111221	10.0	155.0	20.0	170.0	31	166	24	167	46	82	15	78111116	78111221	19.0	408.0	843.0	1321.0
15	89920824	89920917	11.0	120.0	29.0	114.0	39	108	64	102	180	180	15	89920824	89920917	31.0	240.0	825.0	843.0
15	90029932	90030008	12.0	195.0	31.0	195.0	61	225	86	220	154	170	15	90029932	90030008	31.0	275.0	1308.0	1504.0
15	101084961	101084993	60.0	205.0	51.0	190.0	64	195	80	165	127	130	15	101084961	101084993	222.0	590.0	1131.0	1265.0
16	1035774	1035840	103.0	110.0	98.0	110.0	78	100	48	80	0	65	16	1035774	1035840	421.0	460.0	24.0	199.0
16	2229156	2229215	53.0	181.0	92.0	201.0	178	270	270	349	450	465	16	2229156	2229215	358.0	760.0	885.0	900.0
16	3639229	3639299	64.0	114.0	64.0	120.0	65	120	82	132	120	126	16	3639229	3639299	185.0	510.0	395.0	414.0
16	29086221	29086281	5.0	50.0	24.0	60.0	53	95	86	130	149	170	16	29086221	29086281	10.0	220.0	844.0	875.0
16	46569363	46569459	168.0	180.0	158.0	174.0	139	156	88	108	27	54	16	46569363	46569459	240.0	263.0	89.0	264.0
16	49872702	49872825	4.0	165.0	3.0	143.0	9	139	16	113	25	25	16	49872702	49872825	13.0	266.0	355.0	369.0
16	54967472	54967530	22.0	256.0	30.0	240.0	24	208	24	152	127	128	16	54967472	54967530	82.0	658.0	1282.0	1304.0
16	67428540	67428621	18.0	281.0	53.0	275.0	101	296	197	324	314	318	16	67428540	67428621	102.0	1004.0	2612.0	2696.0
16	67687104	67687143	174.0	240.0	174.0	248.0	143	216	78	173	0	130	16	67687104	67687143	648.0	863.0	18.0	720.0
16	67687529	67687611	283.0	320.0	273.0	330.0	205	270	157	240	0	80	16	67687529	67687611	234.0	267.0	11.0	509.0
16	68269867	68269915	2.0	212.0	21.0	219.0	31	177	82	212	120	183	16	68269867	68269915	10.0	713.0	2565.0	2909.0
16	88497124	88497204	3.0	92.0	3.0	92.0	45	103	84	124	131	132	16	88497124	88497204	0.0	352.0	1513.0	1720.0
16	88991496	88991580	72.0	90.0	70.0	90.0	67	90	49	85	11	60	16	88991496	88991580	241.0	315.0	48.0	524.0
17	1389556	1389672	4.0	126.0	19.0	153.0	39	198	51	189	100	191	17	1389556	1389672	38.0	386.0	418.0	821.0
17	1901847	1901911	0.0	90.0	10.0	85.0	35	105	67	121	136	149	17	1901847	1901911	6.0	275.0	357.0	371.0
17	1901999	1902069	18.0	270.0	68.0	297.0	175	351	296	415	605	641	17	1901999	1902069	39.0	629.0	1842.0	1941.0
17	1960475	1960595	22.0	78.0	35.0	91.0	56	104	165	195	243	247	17	1960475	1960595	9.0	138.0	436.0	449.0
17	1961028	1961087	52.0	312.0	121.0	368.0	216	424	399	536	666	680	17	1961028	1961087	109.0	935.0	2850.0	2913.0
17	1961088	1961135	59.0	200.0	71.0	192.0	128	224	193	240	370	385	17	1961088	1961135	155.0	552.0	1551.0	1584.0
17	4803625	4803687	31.0	190.0	47.0	195.0	91	225	120	200	229	235	17	4803625	4803687	95.0	380.0	1132.0	1160.0
17	6606244	6606328	132.0	165.0	124.0	165.0	107	155	57	120	0	85	17	6606244	6606328	261.0	299.0	5.0	312.0
17	6755643	6755712	164.0	170.0	149.0	170.0	129	165	80	140	0	120	17	6755643	6755712	409.0	434.0	55.0	585.0
17	15652986	15653050	51.0	256.0	67.0	264.0	79	224	112	192	260	279	17	15652986	15653050	160.0	552.0	1196.0	1219.0
17	17603643	17603700	114.0	186.0	117.0	179.0	125	185	190	221	262	285	17	17603643	17603700	252.0	512.0	614.0	644.0
17	18907127	18907226	11.0	84.0	18.0	70.0	38	84	85	126	82	84	17	18907127	18907226	50.0	304.0	375.0	387.0
17	25676608	25676690	38.0	70.0	65.0	91.0	81	102	129	141	225	232	17	25676608	25676690	86.0	220.0	653.0	673.0
17	36718271	36718330	12.0	279.0	49.0	286.0	102	279	162	300	281	287	17	36718271	36718330	58.0	798.0	739.0	770.0
17	36718483	36718581	29.0	245.0	76.0	285.0	129	297	184	313	347	352	17	36718483	36718581	66.0	591.0	1991.0	2037.0
17	38473132	38473199	83.0	100.0	88.0	110.0	71	100	53	95	7	109	17	38473132	38473199	195.0	224.0	27.0	441.0
17	42432264	42432303	72.0	147.0	90.0	161.0	109	161	177	217	305	315	17	42432264	42432303	390.0	680.0	1764.0	1813.0
17	43198646	43198693	28.0	78.0	57.0	108.0	81	120	119	144	183	186	17	43198646	43198693	125.0	420.0	1328.0	1357.0
17	43198694	43198758	89.0	208.0	145.0	256.0	211	313	274	368	344	350	17	43198694	43198758	195.0	672.0	2939.0	3004.0
17	43318900	43318971	248.0	273.0	241.0	273.0	212	245	161	250	0	177	17	43318900	43318971	633.0	692.0	29.0	1074.0
17	61926254	61926307	7.0	105.0	40.0	140.0	133	245	275	406	512	658	17	61926254	61926307	0.0	315.0	2054.0	2197.0
17	70119544	70119608	6.0	65.0	22.0	77.0	42	101	57	84	148	157	17	70119544	70119608	57.0	412.0	915.0	953.0
17	70119981	70120058	50.0	153.0	70.0	176.0	70	149	83	129	113	127	17	70119981	70120058	147.0	460.0	345.0	349.0
17	70120107	70120163	34.0	157.0	103.0	223.0	136	223	197	258	292	294	17	70120107	70120163	157.0	561.0	1045.0	1101.0
17	74533287	74533362	106.0	188.0	89.0	151.0	66	144	49	114	6	126	17	74533287	74533362	204.0	385.0	14.0	681.0
17	76128621	76128704	7.0	54.0	19.0	66.0	28	60	46	66	91	108	17	76128621	76128704	24.0	150.0	1170.0	1283.0
17	77786954	77786980	0.0	50.0	2.0	60.0	6	70	10	75	21	135	17	77786954	77786980	0.0	425.0	137.0	880.0
17	78451195	78451292	4.0	270.0	5.0	300.0	13	360	14	390	16	480	17	78451195	78451292	0.0	405.0	137.0	2072.0
17	79315332	79315384	12.0	146.0	30.0	160.0	89	215	152	215	385	391	17	79315332	79315384	27.0	537.0	2035.0	2359.0
18	33767977	33768062	29.0	136.0	36.0	128.0	61	126	145	206	234	246	18	33767977	33768062	93.0	544.0	578.0	612.0
18	34823779	34823894	19.0	161.0	53.0	172.0	96	196	163	214	242	263	18	34823779	34823894	33.0	219.0	589.0	611.0
18	44773067	44773142	3.0	162.0	22.0	180.0	29	207	63	252	98	261	18	44773067	44773142	16.0	540.0	269.0	796.0
18	55094904	55094941	19.0	144.0	48.0	180.0	70	180	134	219	231	298	18	55094904	55094941	57.0	600.0	1615.0	1697.0
18	55107886	55107945	12.0	156.0	30.0	162.0	105	216	193	282	271	276	18	55107886	55107945	23.0	531.0	1412.0	1446.0
18	57636827	57636868	65.0	210.0	86.0	225.0	94	220	160	245	314	325	18	57636827	57636868	283.0	730.0	1697.0	1758.0
18	72191913	72191980	47.0	105.0	42.0	95.0	56	105	84	115	119	120	18	72191913	72191980	182.0	395.0	582.0	605.0
18	77724204	77724271	98.0	125.0	127.0	149.0	134	155	154	174	149	156	18	77724204	77724271	230.0	326.0	673.0	683.0
19	591199	591260	24.0	198.0	45.0	193.0	71	212	142	246	248	304	19	591199	591260	103.0	570.0	483.0	519.0
19	1363130	1363189	7.0	125.0	22.0	125.0	55	140	96	157	210	258	19	1363130	1363189	44.0	289.0	643.0	735.0
19	1465936	1465992	65.0	252.0	105.0	266.0	166	316	257	379	365	379	19	1465936	1465992	114.0	882.0	2706.0	2821.0
19	1468221	1468265	12.0	140.0	20.0	135.0	42	135	92	174	140	154	19	1468221	1468265	52.0	533.0	695.0	731.0
19	2250923	2251021	3.0	50.0	27.0	74.0	88	123	188	215	308	313	19	2250923	2251021	70.0	627.0	791.0	798.0
19	2291490	2291562	85.0	129.0	76.0	159.0	77	174	44	154	2	240	19	2291490	2291562	434.0	548.0	54.0	1470.0
19	2611690	2611756	73.0	85.0	64.0	80.0	59	80	42	65	60	105	19	2611690	2611756	218.0	252.0	380.0	680.0
19	3320360	3320419	100.0	242.0	89.0	222.0	58	194	32	186	4	180	19	3320360	3320419	244.0	600.0	26.0	1050.0
19	7706642	7706720	122.0	126.0	100.0	120.0	91	144	84	162	66	228	19	7706642	7706720	265.0	276.0	411.0	1123.0
19	14584074	14584175	32.0	150.0	33.0	132.0	46	126	66	144	122	126	19	14584074	14584175	53.0	227.0	320.0	336.0
19	18980048	18980093	98.0	294.0	86.0	264.0	104	264	172	272	220	224	19	18980048	18980093	369.0	936.0	4541.0	4614.0
19	18980187	18980240	45.0	189.0	57.0	180.0	76	190	123	200	203	205	19	18980187	18980240	232.0	546.0	779.0	794.0
19	18980719	18980798	13.0	186.0	43.0	186.0	84	216	141	246	270	276	19	18980719	18980798	32.0	468.0	1910.0	1986.0
19	30713762	30713808	16.0	259.0	65.0	282.0	122	294	183	292	276	284	19	30713762	30713808	15.0	918.0	887.0	970.0
19	34311459	34311515	0.0	120.0	10.0	120.0	32	134	80	144	138	159	19	34311459	34311515	0.0	350.0	480.0	544.0
19	40729257	40729347	8.0	54.0	29.0	68.0	55	90	86	118	141	151	19	40729257	40729347	12.0	311.0	221.0	234.0
19	45737587	45737667	9.0	20.0	12.0	30.0	27	80	30	159	49	299	19	45737587	45737667	143.0	157.0	26.0	230.0
19	46443597	46443656	53.0	186.0	76.0	202.0	109	184	182	245	293	299	19	46443597	46443656	103.0	412.0	1672.0	1719.0
19	46997017	46997056	1.0	420.0	31.0	437.0	170	524	291	554	541	571	19	46997017	46997056	4.0	833.0	1707.0	1966.0
19	50779378	50779458	146.0	156.0	136.0	150.0	108	147	81	195	4	240	19	50779378	50779458	368.0	414.0	102.0	1146.0
19	51190108	51190198	5.0	200.0	5.0	190.0	43	190	88	130	193	210	19	51190108	51190198	23.0	240.0	765.0	797.0
19	51829900	51829983	15.0	121.0	18.0	119.0	30	115	43	96	47	48	19	51829900	51829983	78.0	246.0	187.0	199.0
19	52996475	52996577	10.0	90.0	21.0	96.0	33	90	55	107	89	102	19	52996475	52996577	15.0	204.0	766.0	861.0
19	54445360	54445439	13.0	187.0	22.0	177.0	87	243	110	221	253	265	19	54445360	54445439	31.0	341.0	272.0	292.0
19	55944676	55944764	29.0	260.0	27.0	232.0	19	152	156	262	277	288	19	55944676	55944764	35.0	300.0	617.0	695.0
19	55997777	55997829	72.0	77.0	61.0	81.0	38	63	21	105	0	158	19	55997777	55997829	314.0	348.0	67.0	507.0
2	636430	636471	178.0	235.0	189.0	240.0	235	285	306	341	373	388	2	636430	636471	488.0	699.0	744.0	760.0
2	636724	636780	27.0	147.0	41.0	140.0	58	157	92	164	116	117	2	636724	636780	119.0	407.0	367.0	374.0
2	11810211	11810269	3.0	238.0	25.0	259.0	44	273	74	266	197	288	2	11810211	11810269	18.0	841.0	1525.0	1733.0
2	20646212	20646258	1.0	95.0	14.0	100.0	24	120	67	150	110	154	2	20646212	20646258	0.0	444.0	654.0	920.0
2	24397860	24397903	47.0	220.0	68.0	235.0	80	220	159	265	206	220	2	24397860	24397903	232.0	725.0	2651.0	2735.0
2	42719886	42719977	45.0	206.0	98.0	254.0	153	290	272	336	455	468	2	42719886	42719977	110.0	632.0	2567.0	2624.0
2	45028562	45028622	19.0	135.0	29.0	130.0	59	145	88	140	163	175	2	45028562	45028622	59.0	374.0	1508.0	1554.0
2	45176480	45176550	33.0	252.0	89.0	288.0	129	305	199	346	358	381	2	45176480	45176550	94.0	587.0	1461.0	1510.0
2	66673239	66673325	12.0	89.0	17.0	89.0	23	89	22	60	77	78	2	66673239	66673325	25.0	300.0	426.0	444.0
2	74668924	74668991	5.0	98.0	17.0	91.0	23	106	66	149	118	165	2	74668924	74668991	39.0	294.0	646.0	659.0
2	74730717	74730802	18.0	170.0	26.0	165.0	31	135	73	135	92	95	2	74730717	74730802	22.0	235.0	203.0	211.0
2	74743352	74743399	10.0	105.0	28.0	100.0	40	100	76	115	156	176	2	74743352	74743399	20.0	266.0	850.0	885.0
2	74743661	74743717	8.0	119.0	32.0	133.0	63	154	146	224	210	251	2	74743661	74743717	30.0	446.0	487.0	524.0
2	121344927	121344961	1.0	190.0	5.0	165.0	27	185	58	175	165	180	2	121344927	121344961	5.0	745.0	759.0	915.0
2	121345268	121345302	3.0	160.0	8.0	150.0	25	165	80	170	218	250	2	121345268	121345302	19.0	755.0	798.0	915.0
2	127414059	127414095	0.0	180.0	21.0	196.0	95	228	166	265	332	338	2	127414059	127414095	3.0	480.0	933.0	999.0
