chr	start	end	healthy	nbl
chr1	901563	901606	0.0238095333333333	0.757050333333333
chr1	6365122	6365153	0.186111	0.918129
chr1	901830	901953	0.076389	0.804953
chr1	845376	845429	0.111111	0.837875
chr1	1566765	1566824	0.0304924333333333	0.749575
chr1	1564425	1564474	0.0969647666666667	0.815816666666667
chr1	8389934	8390032	0.220658766666667	0.933838333333333
chr1	6304441	6304576	0	0.7125
chr1	6525551	6525591	0.257652	0.947932
chr1	1566647	1566686	0.210256333333333	0.893883
chr1	3514825	3514875	0.0779220333333333	0.761426666666667
chr1	2238100	2238278	0.293333333333333	0.973379666666667
chr1	6480890	6480936	0.0183127533333333	0.697859
chr1	6304611	6304790	0	0.677330666666667
chr1	6304341	6304440	0.120370333333333	0.794312333333333
chr1	1238628	1238796	0.309523666666667	0.982719
chr1	1566913	1567038	0.0669600333333333	0.738751333333333
chr1	9689215	9689375	0.111111	0.777777666666667
chr1	7209811	7209880	0.290043333333333	0.954789666666667
chr1	1566825	1566904	0.112135	0.776829333333333
chr1	6309390	6309510	0.00411523333333333	0.668808133333333
chr1	2137186	2137256	0.218055666666667	0.879364666666667
chr1	1566513	1566540	0.0560113666666667	0.717276
chr1	6302056	6302168	0	0.660777666666667
chr1	3797287	3797369	0.277819666666667	0.938401666666667
chr1	1567734	1567780	0.033344	0.693364666666667
chr1	1307163	1307189	0.0598091	0.719753666666667
chr1	6309934	6309975	0.0183763366666667	0.677984666666667
chr1	1566233	1566373	0.166025666666667	0.824771666666667
chr1	6309553	6309624	0.00546446666666667	0.663302433333333
chr1	9446380	9446522	0.166666666666667	0.824176
chr1	1072469	1072513	0.0512481	0.705049666666667
chr1	2136909	2136953	0.00206398333333333	0.65576
chr1	3567852	3567910	0.237100333333333	0.886430333333333
chr1	6309625	6309669	0.0225834633333333	0.670194066666667
chr1	6309511	6309537	0	0.645147333333333
chr1	6309208	6309250	0.00766283333333333	0.652183066666667
chr1	3514764	3514803	0.144927666666667	0.787982
chr1	1565419	1565507	0.304519333333333	0.947071333333333
chr1	9293524	9293582	0.282106666666667	0.924580666666667
chr1	6309349	6309389	0.0154166666666667	0.654475
chr1	1566541	1566578	0.107359066666667	0.745488333333333
chr1	6309251	6309348	0.007874	0.644366966666667
chr1	5806929	5806979	0.288719	0.924539666666667
chr1	1567781	1567867	0.0689033	0.700125666666667
chr1	9293356	9293523	0.244444333333333	0.87451
chr1	6309179	6309207	0.0403611	0.667411133333333
chr1	2222871	2223005	0.037037	0.661174333333333
chr1	6309787	6309933	0.0238919333333333	0.6474229
chr1	1148243	1148277	0	0.621900333333333
chr1	7021876	7022018	0.333333333333333	0.955192
chr1	6480483	6480563	0.0183982533333333	0.638717666666667
chr1	3821096	3821148	0.364087333333333	0.980769333333333
chr1	3077623	3077750	0.0706348666666667	0.687295
chr1	1564533	1564689	0.3478261	0.963122666666667
chr1	6300385	6300509	0.280423333333333	0.891812666666667
chr1	1072691	1072736	0.00844806666666667	0.613056666666667
chr1	7669198	7669265	0.35873	0.962963
chr1	845458	845560	0.00438596666666667	0.608293333333333
chr1	6309670	6309759	0.0849369366666667	0.687806
chr1	5819216	5819332	0.25	0.850307666666667
chr1	1369733	1369822	0.0944444333333333	0.694416333333333
chr1	9777870	9777965	0	0.597413666666667
chr1	1148350	1148412	0.0215638	0.616698366666667
chr1	1118564	1118606	0.015873	0.6088956
chr1	6304286	6304340	0.393101	0.98579
chr1	845336	845375	0.0788788666666667	0.668976666666667
chr1	8277764	8277894	0	0.589743666666667
chr1	1977977	1978087	0.0277777666666667	0.61715
chr1	1567269	1567372	0.0495542666666667	0.636243333333333
chr1	1249140	1249312	0.264706	0.849008
chr1	6480722	6480870	0.0916178666666667	0.674412
chr1	845561	845587	0	0.58106
chr1	7129988	7130100	0.288359533333333	0.868496666666667
chr1	4645517	4645635	0.047619	0.624444333333333
chr1	9715336	9715438	0.3280422	0.904762
chr1	6086483	6086520	0.00833333333333333	0.581423166666667
chr1	8277315	8277413	0.0180976333333333	0.590676166666667
chr1	3567693	3567728	0.138794433333333	0.711305
chr1	1118318	1118356	0.0133333333333333	0.584507
chr1	3567646	3567692	0.0775726333333333	0.648327666666667
chr1	9378256	9378298	0.0453789333333333	0.609944666666667
chr1	6520792	6520859	0.408572	0.972290333333333
chr1	6302638	6302691	0.0189990933333333	0.581768233333333
chr1	6302519	6302604	0.00575782333333333	0.566709666666667
chr1	3514266	3514351	0.00617283333333333	0.566666666666667
chr1	1567632	1567711	0.0507530333333333	0.610625966666667
chr1	8277479	8277603	0.014652	0.572701033333333
chr1	3454819	3454900	0.0350427333333333	0.592929333333333
chr1	3774383	3774422	0	0.557624333333333
chr1	3072152	3072188	0.0138889	0.571166666666667
chr1	1072514	1072598	0.044696	0.600341333333333
chr1	6086035	6086163	0.111111	0.666666666666667
chr1	3416273	3416386	0.313131333333333	0.863095333333333
chr1	2253850	2253957	0.384615333333333	0.934371
chr1	1144601	1144651	0.111348433333333	0.6605598
chr1	1148278	1148349	0	0.542965666666667
chr1	2253766	2253849	0.253545333333333	0.792966
chr1	8277627	8277683	0.0266752	0.5655475
chr1	1395851	1395924	0.112128533333333	0.650281666666667
chr1	1476255	1476324	0.290692666666667	0.828620333333333
chr1	6302702	6302728	0.00910746666666667	0.546206366666667
chr1	2995570	2995613	0.140079466666667	0.676745333333333
chr1	3077751	3077883	0.142483666666667	0.676882666666667
chr1	1982439	1982538	0.0097643	0.543608033333333
chr1	1567373	1567476	0.0333333333333333	0.566666666666667
chr1	1850217	1850274	0.215010666666667	0.746255666666667
chr1	6302356	6302425	0.00423626333333333	0.534810733333333
chr1	8277217	8277314	0.0388575666666667	0.567094466666667
chr1	2488454	2488530	0	0.5281199
chr1	8277426	8277448	0	0.525217333333333
chr1	845588	845703	0	0.524054233333333
chr1	3689606	3689742	0	0.521123
chr1	3689992	3690080	0.201754333333333	0.721228
chr1	3774551	3774601	0.316783	0.834627
chr1	1118399	1118444	0.0996921	0.617516443333333
chr1	2431286	2431409	0.236111	0.753426
chr1	1148413	1148485	0.0119047666666667	0.526449333333333
chr1	1830581	1830700	0.183079333333333	0.697026333333333
chr1	3620460	3620557	0.333333333333333	0.844658333333333
chr1	8277704	8277763	0.0179045333333333	0.52866712
chr1	1355411	1355486	0.0646633666666667	0.572564666666667
chr1	1118475	1118563	0.0582151333333333	0.565156
chr1	1079587	1079632	0.139954333333333	0.6457737
chr1	2403735	2403834	0.266666666666667	0.770451666666667
chr1	1567543	1567631	0.00813006666666667	0.5112657
chr1	6187792	6187899	0.0751726666666667	0.578043633333333
chr1	7633540	7633646	0.458333333333333	0.959558666666667
chr1	3099901	3099970	0.252684333333333	0.752866666666667
chr1	9764731	9764870	0.189033033333333	0.688816333333333
chr1	1148126	1148242	0	0.499102666666667
chr1	2460813	2460903	0.0142875066666667	0.512966333333333
chr1	1118357	1118398	0.0369462666666667	0.53300127
chr1	3797852	3797935	0.414215666666667	0.903520666666667
chr1	4713960	4714032	0.0578003333333333	0.545904666666667
chr1	6545121	6545171	0.0215053666666667	0.506050333333333
chr1	3595177	3595224	0.1083454	0.590913
chr1	1690431	1690464	0.411434333333333	0.893518666666667
chr1	4060125	4060224	0.432098666666667	0.914149
chr1	2987521	2987653	0	0.481216
chr1	7562098	7562210	0.484848333333333	0.959533333333333
chr1	1149104	1149178	0.103307333333333	0.577152
chr1	3514990	3515093	0.313920333333333	0.785173333333333
chr1	1981799	1981875	0	0.470705166666667
chr1	2165371	2165504	0.375	0.844606666666667
chr1	1981724	1981798	0	0.469187
chr1	2472096	2472166	0.280860666666667	0.747762
chr1	7887278	7887442	0.5	0.966675
chr1	1982610	1982703	0.0474634333333333	0.511913966666667
chr1	2461001	2461039	0	0.4641119
chr1	1079736	1079782	0.138144666666667	0.599517433333333
chr1	1564384	1564424	0.447661	0.906374
chr1	1079509	1079538	0.0662394333333333	0.524358666666667
chr1	1355770	1355867	0.1183285	0.574657666666667
chr1	6302426	6302518	0	0.45492641
chr1	2347276	2347392	0.148841333333333	0.603677333333333
chr1	1847011	1847054	0.112155333333333	0.564352
chr1	2460904	2461000	0	0.4517471
chr1	902505	902557	0	0.451439666666667
chr1	946976	947017	0.508839333333333	0.956191333333333
chr1	9690211	9690305	0	0.446635333333333
chr1	1307408	1307599	0	0.444444333333333
chr1	845247	845310	0.425694333333333	0.870025666666667
chr1	1072626	1072670	0	0.443829333333333
chr1	3567738	3567851	0.0465116666666667	0.488389
chr1	2706053	2706109	0.0363888666666667	0.466174666666667
chr1	6187744	6187791	0.273851	0.702991333333333
chr1	3689743	3689851	0.095238	0.523946333333333
chr1	6535501	6535576	0.510684	0.937527666666667
chr1	2461040	2461170	0	0.4266135
chr1	1982576	1982609	0.0667528666666667	0.4913026
chr1	3803024	3803111	0.545299333333333	0.969122666666667
chr1	1355487	1355586	0.0042735	0.427716466666667
chr1	1079695	1079735	0.229716333333333	0.652612333333333
chr1	3595135	3595176	0	0.420346666666667
chr1	933553	933654	0.1655271	0.585017
chr1	878185	878330	0.0857143333333333	0.504777666666667
chr1	9887816	9887956	0.493506666666667	0.912398
chr1	2461914	2461949	0.00535325333333333	0.422120433333333
chr1	9393772	9393906	0.553240666666667	0.968409333333333
chr1	9486773	9486811	0.0544326	0.469389666666667
chr1	2461171	2461237	0	0.413922
chr1	8215745	8215867	0	0.412743333333333
chr1	4714033	4714075	0.0226784666666667	0.435257333333333
chr1	1289003	1289131	0.161458333333333	0.573639
chr1	9124792	9124967	0.5	0.909091
chr1	7595138	7595174	0.447778333333333	0.853525666666667
chr1	845737	845809	0.0570625	0.462642
chr1	902047	902107	0.00868154666666667	0.414142266666667
chr1	5327628	5327722	0.0238095333333333	0.428904333333333
chr1	1713676	1713715	0.571428666666667	0.975308666666667
chr1	1079539	1079586	0.0804374333333333	0.482499533333333
chr1	1355587	1355686	0.0143518333333333	0.416211033333333
chr1	8343523	8343619	0.287037	0.687301666666667
chr1	1567477	1567515	0.00731291	0.406927833333333
chr1	3255091	3255186	0.171717	0.567948666666667
chr1	1978088	1978150	0.0196078333333333	0.414743666666667
chr1	3625681	3625778	0.444814666666667	0.837368
chr1	2462339	2462381	0	0.392093333333333
chr1	2165505	2165578	0.557109333333333	0.947963
chr1	5025063	5025173	0.372222	0.761904666666667
chr1	5897040	5897217	0.277777666666667	0.666666666666667
chr1	2705733	2705890	0	0.387633
chr1	1371585	1371659	0.207157666666667	0.594367333333333
chr1	9097693	9097767	0.275537333333333	0.660991666666667
chr1	1115510	1115546	0.130952433333333	0.516144333333333
chr1	4714076	4714271	0.0062893	0.391453
chr1	6169375	6169523	0	0.384615333333333
chr1	902116	902175	0	0.381828666666667
chr1	2408517	2408618	0.6	0.981481333333333
chr1	2461238	2461271	0.00215053666666667	0.381121
chr1	8959033	8959149	0.601398666666667	0.979798
chr1	2461643	2461687	0.00160256333333333	0.3793211
chr1	9667805	9667933	0.562963	0.939394
chr1	9686456	9686550	0.149470866666667	0.525581333333333
chr1	1476231	1476254	0.102272666666667	0.477714
chr1	902571	902652	0.00833333333333333	0.3836518
chr1	1982348	1982390	0.0176470333333333	0.39113231
chr1	3620405	3620459	0.517460333333333	0.888889
chr1	2780451	2780548	0	0.370121766666667
chr1	9031463	9031530	0.261904666666667	0.631724
chr1	3606154	3606187	0.592904	0.962391333333333
chr1	2461823	2461913	0	0.369313
chr1	1371670	1371702	0.128333333333333	0.4966332
chr1	3624258	3624291	0.537198	0.905095333333333
chr1	1093585	1093766	0	0.366666666666667
chr1	3690494	3690609	0.372222333333333	0.738871666666667
chr1	1094080	1094180	0.482092	0.847781666666667
chr1	9391689	9391764	0.604127	0.969225333333333
chr1	1355693	1355769	0.0416666666666667	0.406748266666667
chr1	933516	933552	0.0996589333333333	0.463481333333333
chr1	7146321	7146366	0.373015666666667	0.736514333333333
chr1	1307343	1307407	0	0.362286666666667
chr1	2461439	2461479	0.0200348333333333	0.3821246
chr1	8214823	8214951	0.0555556666666667	0.416725666666667
chr1	2124382	2124545	0.633333333333333	0.994253
chr1	902176	902281	0	0.3599881
chr1	1421411	1421483	0.624924333333333	0.984516333333333
chr1	8014260	8014328	0	0.3591839
chr1	6419010	6419107	0	0.358333333333333
chr1	2485574	2485721	0.440559366666667	0.798732
chr1	1004062	1004087	0	0.357489633333333
chr1	2461272	2461438	0	0.357142866666667
chr1	7630422	7630492	0.474359	0.831018666666667
chr1	1457835	1457977	0.633333333333333	0.989899
chr1	1696081	1696195	0.555555666666667	0.910731333333333
chr1	1696558	1696723	0.573265666666667	0.928233333333333
chr1	6480564	6480709	0.295238	0.65
chr1	3595012	3595134	0.153846	0.508547
chr1	7720949	7720976	0.592592666666667	0.947222333333333
chr1	1093767	1093797	0.00340136666666667	0.356234833333333
chr1	1375845	1375966	0.296296333333333	0.649033666666667
chr1	4087676	4087778	0.153778433333333	0.506423333333333
chr1	3447274	3447397	0.0666666666666667	0.416666666666667
chr1	1982261	1982341	0	0.349889666666667
chr1	8968659	8968722	0.556618333333333	0.906173333333333
chr1	9602963	9603000	0.618039666666667	0.965713666666667
chr1	1982391	1982438	0.00193798333333333	0.348879
chr1	2461705	2461761	0.00222222333333333	0.349087666666667
chr1	902438	902504	0.00213675333333333	0.3489256
chr1	2987387	2987419	0.0120478633333333	0.358670466666667
chr1	7039881	7039926	0	0.34375
chr1	2144359	2144460	0	0.3423214
chr1	1072839	1072887	0.0156756666666667	0.357341666666667
chr1	1355361	1355410	0.238194333333333	0.579660433333333
chr1	2467204	2467302	0.513095333333333	0.853965333333333
chr1	1093399	1093426	0	0.339464866666667
chr1	3567471	3567546	0.0825001	0.420098666666667
chr1	9378299	9378375	0.584218333333333	0.921425
chr1	2401138	2401176	0.236859	0.573986
chr1	2461762	2461800	0.00849672333333333	0.3454939
chr1	1981943	1982023	0.00381388333333333	0.339976
chr1	8014086	8014223	0.0095238	0.344162933333333
chr1	2461480	2461506	0.0222222333333333	0.355775566666667
chr1	5980286	5980419	0.666666666666667	1
chr1	6387317	6387441	0.666666666666667	1
chr1	845810	845846	0.164015166666667	0.496743666666667
chr1	3567346	3567463	0.0328638333333333	0.364508
chr1	3412587	3412632	0.17312	0.503301366666667
chr1	2288091	2288139	0.637037	0.967202333333333
chr1	1093212	1093258	0	0.3301562
chr1	6101034	6101138	0.593939333333333	0.923933
chr1	902346	902437	0	0.329611833333333
chr1	1823423	1823482	0.0391813	0.368718333333333
chr1	1141766	1141799	0.0109991333333333	0.340393233333333
chr1	9712137	9712170	0.00595236666666667	0.334786
chr1	2486273	2486382	0.482828333333333	0.808650666666667
chr1	6188094	6188205	0.368827	0.693876666666667
chr1	9404800	9404884	0.638123333333333	0.962848
chr1	5711385	5711549	0.388889	0.7125
chr1	2472167	2472197	0.00799778333333333	0.331113
chr1	1118152	1118317	0.1264527	0.448126
chr1	2144873	2144953	0.580555666666667	0.902111
chr1	6304791	6304918	0.047619	0.367307666666667
chr1	1093468	1093584	0	0.319583533333333
chr1	8377773	8377804	0.665562	0.984298666666667
chr1	4771897	4771979	0.633467333333333	0.950884333333333
chr1	7844650	7844715	0.366349333333333	0.683523333333333
chr1	2461530	2461642	0.00963850333333333	0.3263842
chr1	3625312	3625408	0.618518666666667	0.935185333333333
chr1	2987742	2987822	0.0842491666666667	0.399871566666667
chr1	1376719	1376755	0.321969666666667	0.637122666666667
chr1	2274854	2274993	0.488889	0.802707
chr1	8014224	8014259	0	0.312739566666667
chr1	9711973	9712027	0	0.311825466666667
chr1	4712702	4712742	0.046875	0.357647
chr1	3456913	3457012	0.194211166666667	0.504873333333333
chr1	9242272	9242297	0.00185185333333333	0.312489333333333
chr1	1141800	1141854	0.01485166	0.325439466666667
chr1	8214952	8215070	0.146329333333333	0.456807666666667
chr1	2377971	2378045	0.246825433333333	0.556489333333333
chr1	7522485	7522609	0.666666666666667	0.976190333333333
chr1	9376151	9376262	0.529411666666667	0.837176333333333
chr1	7563091	7563268	0.666666666666667	0.974206333333333
chr1	1141559	1141616	0.25873	0.565
chr1	6372112	6372206	0.661405333333333	0.9676
chr1	902298	902345	0	0.305657333333333
chr1	7746826	7746961	0.555555666666667	0.861111
chr1	2472413	2472481	0.00694443333333333	0.3108509
chr1	2080331	2080468	0.148148	0.45071
chr1	2560467	2560537	0.0138888866666667	0.315676866666667
chr1	1290528	1290565	0.0450313333333333	0.346778133333333
chr1	6509272	6509347	0.125	0.426262666666667
chr1	8277143	8277216	0.149573	0.450810333333333
chr1	5896887	5897032	0.314102666666667	0.613248
chr1	7741112	7741163	0.0246913666666667	0.322995966666667
chr1	9790795	9790904	0.688889	0.986111
chr1	3567547	3567621	0.0285714333333333	0.3237285
chr1	9242196	9242238	0.0151861	0.310293233333333
chr1	4771980	4772066	0.615446333333333	0.908630666666667
chr1	3371267	3371315	0.0202020333333333	0.3125745
chr1	4118860	4119002	0.444444666666667	0.736111
chr1	1537543	1537660	0.675213666666667	0.966666666666667
chr1	895201	895236	0.040644	0.331148
chr1	2985923	2985951	0.00860436666666667	0.298684733333333
chr1	6159517	6159591	0.668893666666667	0.958333333333333
chr1	1369077	1369143	0.282303333333333	0.570906666666667
chr1	1093798	1093834	0.0825278666666667	0.370833333333333
chr1	1374859	1375012	0.456041	0.744000666666667
chr1	1093259	1093307	0	0.287378633333333
chr1	864415	864526	0.680555333333333	0.967738
chr1	3412502	3412586	0.390837666666667	0.677616
chr1	2211739	2211910	0.611111	0.897759
chr1	1093308	1093398	0.0138889	0.3002694
chr1	3568331	3568382	0.00264550333333333	0.288594033333333
chr1	8392664	8392731	0.666666666666667	0.952381
chr1	9712171	9712214	0.00190476333333333	0.286407266666667
chr1	1978151	1978204	0.186111	0.4704681
chr1	8014352	8014392	0.0452488666666667	0.328822033333333
chr1	1563018	1563095	0.370629333333333	0.653352333333333
chr1	9242239	9242271	0	0.282507666666667
chr1	3774423	3774550	0.0208333333333333	0.301854
chr1	1355300	1355360	0.381901	0.66178
chr1	3805235	3805277	0.673678	0.953245333333333
chr1	1934973	1935038	0.037037	0.316412866666667
chr1	1982084	1982260	0	0.2790655
chr1	2706411	2706523	0.0735831666666667	0.351880666666667
chr1	3496959	3497003	0	0.277778
chr1	793769	793866	0.328571333333333	0.604444333333333
chr1	3274165	3274261	0.429629666666667	0.705255
chr1	9242529	9242674	0.010989	0.284741733333333
chr1	1159569	1159751	0.186147	0.45879
chr1	2275202	2275309	0.644159	0.915857333333333
chr1	1241209	1241279	0.085965	0.357445833333333
chr1	1421484	1421549	0.723443	0.994047666666667
chr1	1290037	1290098	0.116829933333333	0.387030166666667
chr1	8721541	8721598	0.687456	0.957318
chr1	933957	933986	0.0181023666666667	0.287037033333333
chr1	9712822	9712898	0	0.267598333333333
chr1	6323182	6323295	0.426703666666667	0.693735
chr1	3568383	3568433	0.0863998333333333	0.353268
chr1	1117517	1117656	0.265079333333333	0.531737666666667
chr1	7844576	7844649	0.0769146	0.341245266666667
chr1	1670415	1670566	0.685185333333333	0.946232666666667
chr1	4123860	4123983	0.680357	0.940035333333333
chr1	6507246	6507283	0.0320642666666667	0.291262433333333
chr1	1142016	1142104	0	0.258403333333333
chr1	2438685	2438827	0.666666666666667	0.925
chr1	3097021	3097189	0.666666666666667	0.923941666666667
chr1	1186644	1186714	0.626906333333333	0.884092333333333
chr1	6694778	6694862	0.455136666666667	0.711778666666667
chr1	6549893	6550020	0.388889	0.644781333333333
chr1	5902176	5902259	0.597033666666667	0.852250666666667
chr1	1981414	1981566	0	0.255137033333333
chr1	3455368	3455445	0.235087666666667	0.490145333333333
chr1	1292577	1292675	0.709868333333333	0.964571666666667
chr1	848508	848592	0.689814666666667	0.944108333333333
chr1	1072752	1072838	0.0185185333333333	0.2727499
chr1	1109219	1109317	0.008547	0.262653233333333
chr1	3652854	3652973	0.722619	0.976190333333333
chr1	969634	969719	0.0251322666666667	0.278645333333333
chr1	935043	935155	0	0.253238333333333
chr1	4712964	4713011	0.0853185	0.337255133333333
chr1	7973279	7973340	0.678266333333333	0.928968
chr1	8575438	8575545	0.75	1
chr1	1290385	1290423	0.0303030333333333	0.278728666666667
chr1	2575210	2575356	0.208333333333333	0.455555666666667
chr1	2408779	2408864	0.674603333333333	0.92144
chr1	2379656	2379769	0.356942666666667	0.603737
chr1	9790554	9790608	0.699789333333333	0.946529
chr1	3456754	3456912	0.095238	0.34127
chr1	1981567	1981592	0	0.245758336666667
chr1	1109153	1109218	0.0310245	0.275141966666667
chr1	6037732	6037804	0.61325	0.857143
chr1	4771125	4771200	0.0622962333333333	0.306076433333333
chr1	2706594	2706636	0.114737	0.358490666666667
chr1	1951033	1951069	0.004329	0.247396606666667
chr1	5812154	5812297	0.666666666666667	0.909523666666667
chr1	6156738	6156913	0.733333333333333	0.972222333333333
chr1	3623319	3623425	0.55	0.788733666666667
chr1	9242997	9243023	0	0.237341766666667
chr1	3568300	3568330	0.0153518	0.251671466666667
chr1	2984775	2984959	0	0.234993666666667
chr1	1355242	1355285	0.371913666666667	0.6068311
chr1	2455226	2455307	0.710862	0.945734
chr1	2157683	2157822	0.733333333333333	0.966666666666667
chr1	6184860	6184919	0.732732666666667	0.964986333333333
chr1	1935240	1935294	0	0.232128533333333
chr1	1003888	1004002	0	0.230875566666667
chr1	2137665	2137730	0.616349333333333	0.846625
chr1	9458043	9458109	0.652867333333333	0.881508
chr1	4687854	4687923	0.417948666666667	0.6453372
chr1	2986031	2986058	0.00276425666666667	0.230059666666667
chr1	1982033	1982083	0	0.227195966666667
chr1	3447508	3447592	0	0.227101233333333
chr1	1935378	1935450	0.0316124	0.257203666666667
chr1	1935191	1935239	0.0190495666666667	0.244004733333333
chr1	9069990	9070132	0.75	0.974359
chr1	9712512	9712567	0	0.224038566666667
chr1	7128744	7128913	0.777777666666667	1
chr1	9688558	9688685	0.777778	1
chr1	1421264	1421352	0.754501666666667	0.976523333333333
chr1	1141617	1141673	0	0.219127466666667
chr1	1981611	1981723	0.00154321	0.220196566666667
chr1	6480097	6480120	0	0.218157333333333
chr1	1289948	1290012	0.190382666666667	0.407797666666667
chr1	6296645	6296735	0.769085666666667	0.986111
chr1	1841244	1841313	0.735677666666667	0.951960666666667
chr1	8014567	8014622	0.090354	0.305448933333333
chr1	1840799	1840985	0.0877193333333333	0.302469
chr1	1289555	1289719	0.0729166666666667	0.287037
chr1	1421353	1421410	0.751860666666667	0.965813333333333
chr1	7465176	7465271	0.768129666666667	0.980952333333333
chr1	1690340	1690430	0.740643333333333	0.952437666666667
chr1	1297432	1297481	0.108889	0.320530166666667
chr1	1156275	1156355	0.690586666666667	0.901761666666667
chr1	6490755	6490896	0.740740666666667	0.95071
chr1	933912	933956	0.0760758666666667	0.285765
chr1	3625409	3625453	0.278787666666667	0.4883022
chr1	7844543	7844575	0.138627666666667	0.347871633333333
chr1	3447398	3447507	0	0.2091325
chr1	9064638	9064775	0.484848333333333	0.692668333333333
chr1	6221031	6221120	0.683565	0.890946333333333
chr1	9712394	9712450	0.00314465333333333	0.210028966666667
chr1	6398594	6398674	0.734349666666667	0.940836666666667
chr1	6188206	6188330	0.599537	0.805555666666667
chr1	2245715	2245859	0.444923333333333	0.650187
chr1	1137080	1137129	0.00568183333333333	0.210798533333333
chr1	6508035	6508191	0	0.203648766666667
chr1	3707508	3707686	0.755555333333333	0.95873
chr1	3371174	3371261	0.00469483333333333	0.207177533333333
chr1	1009514	1009546	0.583333333333333	0.784618333333333
chr1	1935295	1935324	0.0176104666666667	0.217855466666667
chr1	9795340	9795500	0.8	1
chr1	9943200	9943298	0.698412666666667	0.898368333333333
chr1	3371071	3371122	0	0.199155133333333
chr1	2986059	2986083	0.00660743333333333	0.204824566666667
chr1	4660603	4660755	0.555555333333333	0.753086333333333
chr1	4771201	4771303	0.108206333333333	0.305490333333333
chr1	6485255	6485379	0	0.196278
chr1	1476171	1476218	0.0225253	0.218194333333333
chr1	1233536	1233574	0.758423	0.95313
chr1	1564066	1564146	0.786894666666667	0.980600333333333
chr1	7109176	7109262	0.765121333333333	0.958796666666667
chr1	1935325	1935371	0.0101851766666667	0.203327966666667
chr1	5969661	5969781	0.352652666666667	0.545399333333333
chr1	3399146	3399259	0.0256410333333333	0.2169697
chr1	2705903	2706052	0	0.190825666666667
