,chr,start,end,healthy1-V,healthy2-V,healthy3-V,nbl1-V,nbl2-V,nbl3-V
122,chr1,877867,877902,0.0178571,0.0,0.015873,0.050738,0.0227273,0.376623
123,chr1,877903,877930,0.0,0.0,0.0125786,0.0166955,0.0285714,0.277778
124,chr1,877931,878120,0.0,0.0,0.0,0.0,0.0204082,0.434783
125,chr1,878185,878330,0.0,0.142857,0.114286,0.195652,0.461538,0.857143
126,chr1,879180,879369,1.0,1.0,0.888889,0.719008,0.920635,0.583333
127,chr1,879370,879451,0.832298,0.927835,0.918699,0.52407,0.93985,0.524476
128,chr1,879452,879539,0.8,0.857143,0.833333,0.135135,0.954545,0.0
129,chr1,880040,880115,0.916667,0.933333,0.980769,0.0,0.075,0.0
130,chr1,881297,881429,1.0,1.0,0.5,0.968254,1.0,0.928571
131,chr1,881430,881586,1.0,0.947368,0.916667,0.944681,0.966443,1.0
132,chr1,881587,881643,1.0,0.972222,0.934783,0.977839,0.972973,1.0
133,chr1,883418,883489,1.0,0.968992,0.986111,0.963602,0.985816,0.972973
134,chr1,884853,884916,0.859375,0.891304,0.969697,0.857868,0.930233,0.935484
135,chr1,886277,886407,1.0,1.0,1.0,0.973822,0.931818,1.0
136,chr1,886441,886527,1.0,1.0,1.0,0.96,0.948718,1.0
137,chr1,886528,886651,1.0,1.0,0.94,0.953271,0.983333,0.966667
138,chr1,887461,887589,0.666667,0.75,0.5,0.8,0.9,0.75
139,chr1,887873,887993,1.0,0.962963,0.833333,0.973333,1.0,0.962963
140,chr1,888914,888965,0.973485,0.941489,0.965517,0.97555,0.993506,0.991667
141,chr1,894257,894328,0.0,0.0,0.0,0.0239726,0.0267857,0.0833333
142,chr1,894559,894650,0.0,0.0625,0.0,0.0327103,0.025,0.0625
143,chr1,894764,894814,0.0,0.0,0.0,0.035,0.0416667,0.0340909
144,chr1,894895,894923,0.078125,0.0147059,0.025,0.146597,0.0333333,0.0192308
145,chr1,895128,895200,0.416667,0.341317,0.482143,0.91508,0.476744,0.27381
146,chr1,895201,895236,0.0511628,0.04,0.0307692,0.776777,0.116667,0.1
147,chr1,895237,895269,0.4375,0.322581,0.5,0.894231,0.121951,0.0416667
148,chr1,895278,895422,0.2,0.278846,0.106061,0.741935,0.171779,0.173913
149,chr1,895433,895476,0.0930233,0.136364,0.0555556,0.0671835,0.0,0.214286
150,chr1,895621,895656,0.162162,0.0,0.25,0.0507614,0.0,0.0666667
151,chr1,895685,895804,0.0909091,0.6,0.0,0.12766,0.0625,0.0833333
152,chr1,895805,895858,0.0,0.0,0.0,0.0248175,0.0512821,0.0147059
153,chr1,896009,896063,0.0,0.0,0.0,0.0151976,0.0322581,0.0329218
154,chr1,896064,896095,0.0,0.00625,0.0,0.0201465,0.01875,0.0543478
155,chr1,896139,896176,0.0,0.0,0.0,0.014876,0.0191083,0.0075188
156,chr1,896177,896281,0.00900901,0.0,0.0,0.0101781,0.0275229,0.0
157,chr1,896282,896320,0.0283019,0.0,0.0,0.0170213,0.0122951,0.0
158,chr1,896321,896424,0.0357143,0.0178571,0.0,0.00609756,0.0495495,0.0181818
159,chr1,896438,896517,0.0,0.00434783,0.00297619,0.0273301,0.0241379,0.0227273
160,chr1,896518,896556,0.0287356,0.0,0.0254237,0.0264798,0.0384615,0.0
161,chr1,896557,896599,0.0210526,0.032,0.0230769,0.0187793,0.0504587,0.0533333
162,chr1,896600,896697,0.0277778,0.173077,0.0234375,0.0736527,0.0606061,0.0833333
163,chr1,898275,898372,1.0,0.818182,0.833333,0.933333,1.0,0.947368
164,chr1,899247,899323,0.861111,0.9,0.966667,0.97,0.931818,0.972222
165,chr1,899324,899357,0.95,0.924528,0.891509,0.943991,0.963087,0.957447
166,chr1,899358,899480,1.0,0.947368,0.933333,0.91133,0.981132,0.977778
167,chr1,901563,901606,0.0714286,0.0,0.0,0.584615,0.83871,0.847826
168,chr1,901830,901953,0.0,0.166667,0.0625,0.544271,0.9,0.970588
169,chr1,901954,902046,0.0111111,0.0238095,0.0175439,0.533137,0.936275,0.833333
170,chr1,902047,902107,0.0,0.00775194,0.0182927,0.0204918,0.98,0.241935
171,chr1,902116,902175,0.0,0.0,0.0,0.03657,0.942249,0.166667
172,chr1,902176,902281,0.0,0.0,0.0,0.0362903,0.972752,0.070922
173,chr1,902298,902345,0.0,0.0,0.0,0.015873,0.901099,0.0
174,chr1,902346,902437,0.0,0.0,0.0,0.0151515,0.973684,0.0
175,chr1,902438,902504,0.0,0.0,0.00641026,0.0184409,0.971193,0.0571429
176,chr1,902505,902557,0.0,0.0,0.0,0.056,0.941176,0.357143
177,chr1,902571,902652,0.0,0.025,0.0,0.0509554,1.0,0.1
178,chr1,903445,903527,0.875,0.96875,0.969697,0.853175,0.987805,0.935484
179,chr1,903528,903585,0.851852,0.666667,0.733333,0.626866,0.964286,0.947368
180,chr1,906156,906296,0.333333,0.875,0.125,0.4,0.0,0.375
181,chr1,906297,906394,0.158333,0.153439,0.0,0.159624,0.0432692,0.0795455
182,chr1,906395,906433,0.1,0.0833333,0.4,0.0508475,0.181818,0.0
183,chr1,906434,906504,0.301724,0.222222,0.196429,0.443662,0.123077,0.0526316
184,chr1,906505,906533,0.28125,0.383333,0.230769,0.424036,0.26087,0.130952
185,chr1,907038,907117,0.916667,0.808,0.871795,0.821006,0.878788,0.755556
186,chr1,907118,907191,0.56,0.5,0.714286,0.178862,0.510204,0.0714286
187,chr1,909314,909380,0.944444,0.907407,1.0,0.5,0.928571,0.806452
188,chr1,909381,909461,0.78,0.928571,0.823529,0.0483871,0.921429,0.958333
189,chr1,909478,909664,0.578947,0.741935,0.866667,0.0841121,0.896552,0.222222
190,chr1,910782,910855,0.897436,0.911765,0.735294,0.832432,0.904762,0.277778
191,chr1,911470,911539,0.0,0.0114286,0.04,0.0239521,0.0198675,0.0307692
192,chr1,911540,911600,0.0909091,0.0,0.0,0.0287356,0.03125,0.0
193,chr1,911995,912069,0.0833333,0.0131579,0.0625,0.0271399,0.0431034,0.0
194,chr1,912611,912641,0.954545,0.973154,0.985,0.940658,0.220183,0.125
195,chr1,913481,913511,0.918519,0.843972,0.83908,0.868568,0.25974,0.0648148
196,chr1,913512,913613,0.971831,0.72449,0.966667,0.673282,0.753846,0.0
197,chr1,914072,914164,0.642857,1.0,1.0,0.950617,1.0,1.0
198,chr1,914174,914343,1.0,0.75,0.6,0.428571,0.818182,0.6
199,chr1,914344,914381,0.92,0.975904,0.95082,0.518717,1.0,0.529412
200,chr1,914382,914477,0.733333,1.0,1.0,0.654545,1.0,1.0
201,chr1,914478,914507,0.848485,0.9,0.958333,0.916129,1.0,1.0
202,chr1,914508,914570,0.969231,0.911111,0.948571,0.639423,0.952,0.853333
203,chr1,914600,914666,0.919192,0.973333,0.966667,0.860606,0.969466,0.96
204,chr1,914667,914692,0.961039,0.962406,0.942029,0.884857,0.963636,0.716049
205,chr1,914693,914763,0.924528,0.884615,0.912,0.344023,0.915556,0.426087
206,chr1,914764,914794,0.96,0.938776,0.9375,0.403226,1.0,1.0
207,chr1,914795,914838,0.833333,0.764706,0.828571,0.471299,1.0,1.0
208,chr1,914839,914956,0.952381,0.877193,0.941176,0.824,0.955056,0.941176
209,chr1,916017,916057,0.9,0.794118,0.911765,0.0416667,0.543478,0.0
210,chr1,916058,916114,0.845304,0.852,0.902703,0.0772727,0.464286,0.181818
211,chr1,916158,916197,0.808333,0.833333,0.753846,0.486111,0.785714,0.181818
212,chr1,917661,917687,0.411765,0.315789,0.625,0.0333333,0.75,0.333333
213,chr1,917688,917818,0.8,0.7,0.6,0.489362,0.947368,0.676471
214,chr1,918312,918428,1.0,0.975,0.941176,0.329412,0.65625,0.25
215,chr1,919002,919093,0.8,0.924242,1.0,0.869565,0.9375,1.0
216,chr1,919867,919915,0.409091,0.2,0.32,0.0634328,0.206349,0.727273
217,chr1,920355,920419,0.923077,1.0,0.793103,0.573171,0.601695,0.666667
218,chr1,921386,921561,0.928571,0.833333,0.928571,0.305556,0.553571,0.238095
219,chr1,923132,923199,0.938776,0.914894,0.969697,0.779528,0.813953,0.833333
220,chr1,931047,931149,0.555556,0.862745,0.52381,0.108108,0.148148,0.111111
221,chr1,931150,931186,0.754237,0.636364,0.724138,0.0136986,0.486486,0.0681818
222,chr1,932306,932385,0.333333,0.6,0.583333,0.229075,0.0833333,0.411765
223,chr1,933516,933552,0.076,0.131579,0.0913978,0.735206,0.228571,0.426667
224,chr1,933553,933654,0.3,0.0576923,0.138889,0.838384,0.166667,0.75
225,chr1,933655,933711,0.0,0.0128205,0.0,0.0660015,0.218254,0.2
226,chr1,933712,933756,0.103448,0.0375,0.0656566,0.0672823,0.148148,0.111111
227,chr1,933912,933956,0.0654206,0.122807,0.04,0.517241,0.215054,0.125
228,chr1,933957,933986,0.0108696,0.0234375,0.02,0.75,0.0833333,0.0277778
229,chr1,933987,934035,0.0,0.0,0.0,0.0774336,0.0384615,0.0606061
230,chr1,934036,934204,0.0,0.0350877,0.0,0.0242424,0.0,0.111111
231,chr1,934205,934265,0.0,0.00877193,0.0,0.0314727,0.0289855,0.0648148
232,chr1,934469,934508,0.0047619,0.0,0.00512821,0.0318213,0.0140845,0.04375
233,chr1,934637,934708,0.0,0.021164,0.0,0.0356083,0.00714286,0.016129
234,chr1,934726,934767,0.02,0.0,0.0,0.0681818,0.0566038,0.0727273
235,chr1,934768,934845,0.0,0.0,0.00970874,0.0432692,0.0495868,0.0227273
236,chr1,935043,935155,0.0,0.0,0.0,0.440909,0.08,0.238806
237,chr1,935183,935211,0.0,0.0,0.0,0.034965,0.0444444,0.0222222
238,chr1,935235,935267,0.0,0.0,0.0147059,0.0381316,0.00735294,0.025
239,chr1,935300,935335,0.0222222,0.00555556,0.0,0.107287,0.0,0.291045
240,chr1,935336,935377,0.0,0.0151515,0.0,0.0604938,0.0576923,0.166667
241,chr1,935378,935462,0.0078125,0.0234375,0.0170455,0.0376328,0.033557,0.0585938
242,chr1,935463,935533,0.0,0.0318182,0.0196078,0.0321637,0.0285714,0.037037
243,chr1,935534,935617,0.0,0.0,0.00769231,0.0419847,0.0250784,0.0361446
244,chr1,935618,935695,0.012987,0.0,0.0,0.0506757,0.0031348,0.0457143
245,chr1,935696,935723,0.0,0.0,0.0,0.200528,0.0,0.111111
246,chr1,935742,935771,0.00537634,0.010929,0.0,0.0538415,0.0416667,0.0238095
247,chr1,935781,935825,0.0,0.0,0.0,0.034965,0.016,0.047619
248,chr1,935833,935904,0.0,0.0,0.0,0.306099,0.03,0.0128205
249,chr1,935905,935971,0.0,0.0,0.025,0.429577,0.125,0.025
250,chr1,935978,936017,0.0,0.0,0.0,0.0615385,0.0,0.0
251,chr1,936030,936099,0.0,0.0135135,0.0,0.3025,0.0106383,0.0208333
252,chr1,936118,936188,0.010101,0.0111111,0.0784314,0.519043,0.0740741,0.0246914
253,chr1,936210,936270,0.02,0.0,0.00298507,0.124736,0.00462963,0.0
254,chr1,936515,936578,0.0,0.0,0.0142857,0.0336735,0.0994152,0.075
255,chr1,936610,936697,0.05,0.0151515,0.047619,0.338983,0.0689655,0.233333
256,chr1,936833,936923,0.0,0.0126582,0.0,0.309645,0.0879121,0.0714286
257,chr1,936924,937047,0.166667,0.148148,0.0759494,0.402174,0.0952381,0.037037
258,chr1,937048,937120,0.0,0.0131579,0.0,0.164909,0.0208333,0.0
259,chr1,937121,937235,0.0588235,0.06875,0.00621118,0.204962,0.0454545,0.0384615
260,chr1,937236,937290,0.0210084,0.0,0.00621118,0.0179641,0.0170455,0.0
261,chr1,937291,937345,0.0,0.0,0.03125,0.0378007,0.0320513,0.0357143
262,chr1,937364,937442,0.0,0.0,0.0,0.00714286,0.0227273,0.0178571
263,chr1,939363,939447,1.0,0.705882,0.8,0.7125,0.956522,1.0
264,chr1,944200,944299,1.0,0.861111,0.915493,0.81746,0.979167,0.845238
265,chr1,945257,945324,0.95122,0.909091,1.0,0.925,0.962963,0.875
266,chr1,946976,947017,0.677778,0.539216,0.309524,0.919786,0.962121,0.986667
267,chr1,948128,948264,1.0,0.916667,0.8125,0.864286,0.983333,0.6875
268,chr1,950711,950786,0.9375,0.941935,0.977778,0.89916,0.96,0.942857
269,chr1,950787,950834,0.862745,0.972222,0.789474,0.847518,0.914894,0.736842
270,chr1,952794,952955,1.0,0.941176,0.833333,0.916667,0.944444,0.956522
271,chr1,953839,953931,0.927273,0.956522,0.98,0.845528,0.968421,0.975
272,chr1,953974,954052,0.895604,0.97619,0.982143,0.854545,0.888889,0.810345
273,chr1,954492,954566,0.0980392,0.0,0.0909091,0.0862069,0.173913,0.166667
274,chr1,954873,954919,0.0,0.0243902,0.0,0.021419,0.0103627,0.030303
275,chr1,954926,954952,0.0,0.0,0.0,0.0137421,0.018018,0.0555556
276,chr1,954985,955029,0.0,0.0,0.0,0.0181818,0.0272727,0.0306122
277,chr1,955048,955071,0.0,0.0,0.0,0.02,0.030303,0.0833333
278,chr1,955087,955154,0.0,0.0105263,0.0,0.00997783,0.00571429,0.0655738
279,chr1,955155,955228,0.031746,0.0,0.0,0.0271967,0.0283019,0.0
280,chr1,955229,955260,0.0,0.0,0.0,0.0174312,0.0235294,0.0357143
281,chr1,955275,955304,0.0,0.0,0.00925926,0.0131579,0.0333333,0.05
282,chr1,955477,955510,0.0,0.0,0.0,0.00704935,0.0424242,0.0208333
283,chr1,955511,955557,0.0,0.0151515,0.011236,0.0291005,0.0138889,0.0694444
284,chr1,955572,955626,0.004329,0.0147601,0.00934579,0.0190058,0.021875,0.0258065
285,chr1,955647,955695,0.0052356,0.0,0.0,0.0170604,0.0482759,0.0394737
286,chr1,955696,955727,0.0,0.0,0.0,0.0149254,0.0,0.0
287,chr1,955728,955764,0.0,0.0,0.0,0.0,0.0,0.0
288,chr1,955772,955802,0.0,0.00645161,0.0,0.0211765,0.0190476,0.0235294
289,chr1,955803,955836,0.0188679,0.0,0.0142857,0.0254237,0.03125,0.025641
290,chr1,955860,955885,0.05,0.0,0.0,0.0367647,0.0,0.0
291,chr1,955927,956034,0.0,0.0,0.0,0.0348837,0.0465116,0.0
292,chr1,956035,956076,0.0,0.0,0.0,0.03,0.0,0.0
293,chr1,956077,956136,0.0,0.0,0.0,0.0279146,0.0,0.0
294,chr1,956137,956195,0.0,0.0,0.0,0.0960452,0.0166667,0.0232558
295,chr1,956272,956298,0.0,0.0,0.0,0.0253165,0.0588235,0.0
296,chr1,956299,956326,0.0,0.0,0.0,0.0237389,0.0588235,0.0833333
297,chr1,956393,956454,0.0461538,0.0,0.0,0.0,0.0434783,0.0
298,chr1,956455,956551,0.0,0.133333,0.0,0.0,0.030303,0.222222
299,chr1,956552,956580,0.0,0.0,0.0,0.0373832,0.0909091,0.0625
300,chr1,959506,959576,1.0,0.864865,0.958333,0.303371,0.857143,0.722222
301,chr1,960268,960361,0.95,0.959459,0.966667,0.83691,0.969388,0.941176
302,chr1,960362,960475,1.0,1.0,1.0,0.909091,0.923077,0.833333
303,chr1,960551,960614,0.9375,0.943396,1.0,0.420513,1.0,0.785714
304,chr1,960677,960766,0.826923,0.708333,0.787879,0.406667,0.959184,0.833333
305,chr1,961105,961231,1.0,0.7,1.0,0.977273,1.0,1.0
306,chr1,967886,967987,0.277778,0.25,0.0,0.030303,0.03125,0.0
307,chr1,967988,968084,0.345238,0.238095,0.376623,0.113744,0.22449,0.142857
308,chr1,968333,968387,0.0307692,0.018018,0.04,0.0181087,0.0365854,0.0333333
309,chr1,968388,968438,0.0454545,0.0296296,0.0,0.015873,0.0462963,0.0
310,chr1,968472,968582,0.0111111,0.0,0.0,0.0,0.0311419,0.0166667
311,chr1,968838,968885,0.271605,0.0,0.0526316,0.0245665,0.0333333,0.0731707
312,chr1,968886,968923,0.0299145,0.00332226,0.0,0.0525876,0.0576923,0.0520833
313,chr1,968944,969009,0.0162162,0.0159574,0.0,0.0102041,0.0113636,0.0147059
314,chr1,969010,969041,0.0,0.0,0.0526316,0.0201342,0.0952381,0.0
315,chr1,969153,969178,0.0,0.0,0.0,0.0322581,0.0,0.166667
316,chr1,969185,969222,0.0769231,0.047619,0.0,0.0219298,0.0645161,0.0
317,chr1,969237,969305,0.1125,0.0,0.0727273,0.0459627,0.00558659,0.04
318,chr1,969306,969418,0.0,0.0,0.0,0.0152439,0.0222222,0.078125
319,chr1,969426,969516,0.0,0.0,0.0,0.019084,0.047619,0.142857
320,chr1,969517,969546,0.0387597,0.0606061,0.037037,0.0172946,0.0338983,0.0634921
321,chr1,969547,969581,0.1,0.0,0.173077,0.0497258,0.0744337,0.0882353
322,chr1,969606,969633,0.0147059,0.0643275,0.030303,0.0506912,0.0689655,0.0967742
323,chr1,969634,969719,0.0,0.047619,0.0277778,0.13964,0.4,0.296296
324,chr1,969720,969766,0.0512821,0.03125,0.0,0.0353535,0.027027,0.333333
325,chr1,969767,969921,0.0,0.146341,0.0740741,0.0505051,0.30303,0.0
326,chr1,969930,969965,0.356061,0.223958,0.179641,0.190623,0.555133,0.0925926
327,chr1,970191,970318,0.333333,0.875,0.4375,0.321429,0.925,0.3125
328,chr1,971290,971392,0.0,0.0,0.0,0.550336,1.0,0.75
329,chr1,972179,972224,0.941176,0.909091,1.0,0.5,0.975,0.826087
330,chr1,972983,973118,1.0,1.0,1.0,0.0322581,1.0,0.25
331,chr1,973412,973518,1.0,1.0,0.5,0.607143,0.666667,0.888889
332,chr1,975466,975516,0.0526316,0.0,0.0144928,0.0198413,0.22807,0.030303
333,chr1,975517,975579,0.0,0.0166667,0.0,0.152397,0.348485,0.0470588
334,chr1,975833,975880,0.0324324,0.0285714,0.0,0.0181624,0.0923077,0.0763889
335,chr1,975881,976049,0.0,0.0,0.0,0.02,0.0,0.0344828
