,chr,start,end,healthy_depth,healthy_meth,nbl_depth,nbl_meth
615,1,1182396,1182447,444.0,81.0,1896.0,129.0
637,1,1208858,1208906,536.0,0.0,3150.0,60.0
638,1,1208907,1208966,899.0,1.0,4228.0,69.0
640,1,1209020,1209102,263.0,0.0,552.0,10.0
641,1,1209103,1209154,504.0,2.0,2336.0,42.0
670,1,1228868,1228909,616.0,595.0,734.0,718.0
692,1,1242847,1242938,392.0,3.0,1234.0,8.0
694,1,1242982,1243020,278.0,2.0,715.0,15.0
696,1,1243261,1243304,280.0,0.0,780.0,14.0
697,1,1243349,1243400,376.0,2.0,912.0,14.0
698,1,1243401,1243452,272.0,1.0,484.0,12.0
699,1,1243453,1243497,355.0,0.0,745.0,8.0
701,1,1243852,1243919,297.0,0.0,879.0,16.0
703,1,1244037,1244139,220.0,0.0,531.0,7.0
706,1,1244531,1244585,441.0,1.0,1231.0,22.0
707,1,1244586,1244643,450.0,3.0,1039.0,16.0
709,1,1245147,1245175,800.0,708.0,800.0,362.0
711,1,1248089,1248155,246.0,238.0,1075.0,1030.0
714,1,1249367,1249459,254.0,247.0,670.0,600.0
718,1,1259842,1259908,709.0,3.0,3161.0,55.0
720,1,1259944,1260005,302.0,0.0,919.0,29.0
723,1,1260336,1260391,255.0,0.0,815.0,18.0
735,1,1268928,1268984,731.0,684.0,1720.0,1255.0
748,1,1272477,1272561,465.0,448.0,1721.0,1682.0
764,1,1284488,1284535,537.0,2.0,2507.0,47.0
765,1,1284536,1284574,431.0,2.0,2016.0,38.0
767,1,1284943,1284985,312.0,1.0,1369.0,30.0
771,1,1285098,1285180,433.0,4.0,2114.0,36.0
772,1,1285181,1285276,190.0,0.0,400.0,6.0
777,1,1289948,1290012,624.0,118.0,2215.0,1928.0
780,1,1290528,1290565,728.0,32.0,1140.0,620.0
782,1,1290965,1291011,593.0,6.0,1642.0,123.0
787,1,1295476,1295564,296.0,257.0,905.0,777.0
792,1,1310413,1310449,706.0,1.0,3726.0,83.0
793,1,1310493,1310581,200.0,2.0,530.0,8.0
794,1,1310582,1310621,240.0,0.0,580.0,17.0
804,1,1321786,1321868,240.0,189.0,876.0,836.0
806,1,1322734,1322782,642.0,557.0,1629.0,1451.0
813,1,1334374,1334421,534.0,0.0,1061.0,20.0
815,1,1334864,1334915,270.0,0.0,1049.0,27.0
818,1,1341985,1342061,300.0,11.0,931.0,26.0
819,1,1342201,1342261,536.0,5.0,1504.0,53.0
820,1,1342274,1342391,189.0,0.0,486.0,7.0
832,1,1355411,1355486,620.0,40.0,2395.0,2097.0
833,1,1355487,1355586,492.0,3.0,1108.0,775.0
835,1,1355770,1355867,464.0,57.0,2409.0,2151.0
836,1,1355885,1355957,450.0,263.0,519.0,413.0
840,1,1363066,1363106,450.0,3.0,1800.0,36.0
841,1,1363124,1363169,482.0,1.0,2128.0,46.0
852,1,1370941,1370972,540.0,3.0,1135.0,24.0
853,1,1370973,1371027,641.0,0.0,1486.0,24.0
855,1,1371326,1371405,209.0,5.0,710.0,69.0
860,1,1374653,1374737,610.0,590.0,2209.0,2108.0
862,1,1375013,1375141,801.0,620.0,3352.0,3126.0
865,1,1375269,1375300,660.0,595.0,915.0,803.0
875,1,1388334,1388413,145.0,138.0,401.0,325.0
885,1,1407173,1407233,423.0,0.0,2224.0,46.0
886,1,1407234,1407344,269.0,0.0,558.0,3.0
906,1,1446931,1446992,447.0,2.0,2484.0,41.0
909,1,1447557,1447617,270.0,0.0,2237.0,29.0
911,1,1449135,1449201,501.0,452.0,922.0,163.0
915,1,1455586,1455704,240.0,234.0,1578.0,1540.0
934,1,1470944,1470980,864.0,816.0,2530.0,2459.0
936,1,1471523,1471580,470.0,435.0,2264.0,1932.0
937,1,1475245,1475284,470.0,11.0,1064.0,416.0
941,1,1475941,1476019,672.0,15.0,2791.0,55.0
952,1,1483257,1483348,186.0,182.0,663.0,633.0
968,1,1510110,1510165,720.0,2.0,3233.0,63.0
970,1,1510407,1510525,150.0,0.0,378.0,2.0
984,1,1535478,1535543,224.0,0.0,1240.0,29.0
985,1,1535544,1535597,495.0,3.0,729.0,25.0
995,1,1551415,1551459,431.0,0.0,1475.0,22.0
997,1,1551521,1551572,807.0,3.0,2751.0,51.0
999,1,1551642,1551681,440.0,0.0,1680.0,28.0
1001,1,1551748,1551801,600.0,1.0,1666.0,41.0
1007,1,1559030,1559113,610.0,585.0,2029.0,1949.0
1010,1,1562325,1562366,524.0,505.0,1365.0,1280.0
1013,1,1562946,1563011,315.0,187.0,441.0,303.0
1016,1,1563811,1563895,228.0,216.0,1040.0,991.0
1023,1,1564794,1564856,706.0,68.0,3252.0,2949.0
1028,1,1566130,1566196,538.0,55.0,2430.0,2261.0
1037,1,1567632,1567711,714.0,40.0,2542.0,2040.0
1048,1,1590440,1590505,210.0,0.0,434.0,10.0
1050,1,1592168,1592240,334.0,304.0,1238.0,1193.0
1052,1,1598708,1598775,373.0,363.0,1159.0,1112.0
1055,1,1609009,1609076,396.0,340.0,1126.0,1087.0
1057,1,1611490,1611595,270.0,256.0,399.0,389.0
1084,1,1709711,1709766,616.0,0.0,1511.0,39.0
1085,1,1709767,1709858,234.0,0.0,403.0,5.0
1087,1,1710208,1710261,624.0,6.0,1498.0,27.0
1088,1,1710262,1710305,462.0,2.0,1782.0,31.0
1090,1,1714001,1714082,391.0,18.0,2324.0,2272.0
1098,1,1819147,1819213,278.0,262.0,875.0,836.0
1100,1,1821530,1821575,504.0,0.0,918.0,15.0
1101,1,1821586,1821690,155.0,0.0,604.0,5.0
1102,1,1821691,1821733,364.0,0.0,2086.0,69.0
1104,1,1821787,1821829,290.0,4.0,1790.0,37.0
1105,1,1821830,1821863,430.0,3.0,1860.0,45.0
1106,1,1821864,1821902,570.0,0.0,1721.0,38.0
1107,1,1821953,1821999,415.0,4.0,1551.0,27.0
1109,1,1822040,1822105,170.0,0.0,1058.0,19.0
1112,1,1822375,1822418,366.0,0.0,1438.0,25.0
1128,1,1850824,1850901,380.0,0.0,807.0,9.0
1129,1,1851255,1851316,426.0,44.0,1950.0,68.0
1174,1,1935191,1935239,436.0,8.0,892.0,192.0
1175,1,1935240,1935294,662.0,0.0,731.0,140.0
1184,1,1950545,1950582,660.0,24.0,2098.0,117.0
1185,1,1950698,1950817,389.0,3.0,608.0,14.0
1186,1,1950818,1950877,1032.0,2.0,3236.0,165.0
1189,1,1951107,1951161,784.0,6.0,3089.0,923.0
1190,1,1951162,1951219,235.0,1.0,793.0,204.0
1191,1,1951220,1951255,440.0,17.0,1850.0,129.0
1195,1,1953038,1953108,441.0,416.0,1817.0,643.0
1200,1,1957219,1957280,462.0,228.0,1341.0,432.0
1217,1,1976225,1976286,295.0,2.0,1483.0,162.0
1218,1,1976336,1976381,592.0,2.0,1548.0,49.0
1220,1,1976547,1976644,420.0,36.0,470.0,29.0
1226,1,1981724,1981798,329.0,0.0,1817.0,1077.0
1227,1,1981799,1981875,231.0,0.0,1194.0,841.0
1228,1,1981876,1981922,605.0,0.0,2294.0,752.0
1229,1,1981943,1982023,663.0,3.0,1819.0,726.0
1230,1,1982033,1982083,511.0,0.0,958.0,347.0
1231,1,1982261,1982341,348.0,0.0,1688.0,1052.0
1232,1,1982348,1982390,345.0,7.0,1505.0,1021.0
1330,1,2126148,2126200,336.0,6.0,446.0,8.0
1333,1,2132117,2132207,261.0,252.0,751.0,700.0
1340,1,2136909,2136953,909.0,2.0,3887.0,3236.0
1341,1,2137136,2137185,308.0,23.0,2224.0,2126.0
1343,1,2137257,2137317,230.0,46.0,954.0,918.0
1352,1,2158481,2158523,858.0,45.0,1086.0,36.0
1359,1,2159207,2159258,490.0,7.0,679.0,16.0
1360,1,2159259,2159288,478.0,1.0,1326.0,29.0
1362,1,2159401,2159462,578.0,1.0,705.0,11.0
1363,1,2159672,2159732,825.0,2.0,3371.0,68.0
1364,1,2159733,2159765,570.0,2.0,1122.0,16.0
1365,1,2159766,2159812,989.0,4.0,2529.0,48.0
1366,1,2159813,2159843,685.0,3.0,1775.0,36.0
1367,1,2159844,2159883,675.0,4.0,1925.0,44.0
1368,1,2159909,2159939,594.0,2.0,2088.0,38.0
1369,1,2159988,2160050,290.0,0.0,760.0,23.0
1370,1,2160051,2160083,534.0,5.0,1266.0,32.0
1374,1,2160195,2160248,525.0,0.0,1001.0,22.0
1376,1,2160309,2160386,407.0,3.0,793.0,43.0
1396,1,2214209,2214307,175.0,166.0,542.0,530.0
1406,1,2229596,2229689,241.0,226.0,446.0,440.0
1422,1,2238058,2238099,660.0,642.0,2480.0,2403.0
1429,1,2245963,2246015,401.0,8.0,258.0,44.0
1432,1,2246121,2246157,754.0,0.0,1154.0,39.0
1434,1,2246310,2246349,664.0,1.0,1074.0,17.0
1437,1,2246817,2246899,255.0,6.0,828.0,52.0
1441,1,2249316,2249386,456.0,453.0,615.0,604.0
1442,1,2249426,2249503,320.0,301.0,1139.0,1106.0
1456,1,2255925,2256028,311.0,297.0,569.0,516.0
1486,1,2288140,2288233,270.0,262.0,305.0,292.0
1498,1,2316410,2316465,390.0,381.0,462.0,364.0
1499,1,2316472,2316546,366.0,351.0,832.0,319.0
1503,1,2323456,2323497,420.0,1.0,1152.0,17.0
1504,1,2323522,2323592,649.0,3.0,2405.0,56.0
1505,1,2323593,2323661,329.0,0.0,894.0,16.0
1518,1,2343707,2343809,333.0,0.0,844.0,7.0
1519,1,2343820,2343914,684.0,0.0,1525.0,31.0
1520,1,2343933,2343975,208.0,0.0,671.0,23.0
1522,1,2344448,2344514,610.0,7.0,800.0,8.0
1524,1,2344561,2344622,335.0,0.0,650.0,10.0
1558,1,2365427,2365498,743.0,591.0,1038.0,607.0
1571,1,2372669,2372770,246.0,235.0,251.0,189.0
1572,1,2374822,2374905,287.0,6.0,670.0,63.0
1573,1,2375098,2375124,620.0,2.0,1010.0,19.0
1627,1,2426333,2426390,661.0,625.0,1324.0,1239.0
1631,1,2428256,2428332,330.0,313.0,458.0,427.0
1640,1,2433641,2433704,572.0,553.0,1002.0,967.0
1652,1,2435512,2435592,378.0,231.0,804.0,699.0
1676,1,2449577,2449626,650.0,641.0,1525.0,1488.0
1682,1,2457523,2457602,585.0,0.0,1440.0,22.0
1685,1,2457851,2457881,312.0,0.0,1164.0,14.0
1686,1,2460813,2460903,307.0,7.0,1092.0,893.0
1687,1,2461001,2461039,518.0,0.0,822.0,574.0
1689,1,2461171,2461237,307.0,0.0,497.0,291.0
1690,1,2461238,2461271,810.0,2.0,3027.0,2559.0
1693,1,2461643,2461687,872.0,1.0,1616.0,998.0
1694,1,2461705,2461761,429.0,1.0,1827.0,1218.0
1695,1,2461762,2461800,654.0,5.0,728.0,393.0
1702,1,2472167,2472197,590.0,5.0,1390.0,487.0
1703,1,2472413,2472481,306.0,3.0,639.0,272.0
1708,1,2477774,2477847,327.0,1.0,624.0,18.0
1709,1,2477848,2477880,354.0,3.0,1121.0,28.0
1711,1,2478166,2478220,312.0,2.0,1480.0,31.0
1770,1,2560169,2560266,315.0,6.0,839.0,30.0
1774,1,2574188,2574254,608.0,0.0,1176.0,21.0
1780,1,2574652,2574717,228.0,2.0,384.0,15.0
1782,1,2574775,2574846,299.0,2.0,757.0,18.0
1794,1,2706349,2706410,560.0,20.0,1162.0,92.0
1795,1,2706524,2706593,999.0,26.0,2949.0,235.0
1796,1,2706594,2706636,581.0,74.0,1869.0,1275.0
1797,1,2706637,2706742,216.0,7.0,627.0,66.0
1858,1,2796254,2796331,315.0,295.0,502.0,207.0
1875,1,2811112,2811192,335.0,310.0,558.0,397.0
1899,1,2847220,2847286,469.0,420.0,479.0,79.0
1907,1,2863739,2863844,210.0,90.0,289.0,9.0
1961,1,2979276,2979348,613.0,534.0,680.0,61.0
1972,1,2984735,2984774,718.0,2.0,1485.0,311.0
1974,1,2985121,2985209,702.0,2.0,962.0,91.0
1975,1,2985210,2985277,455.0,4.0,555.0,55.0
1976,1,2985278,2985365,795.0,0.0,1428.0,298.0
1978,1,2985923,2985951,845.0,7.0,880.0,492.0
1980,1,2986031,2986058,935.0,3.0,1135.0,310.0
1981,1,2986059,2986083,885.0,6.0,1195.0,467.0
1989,1,2986762,2986807,390.0,0.0,855.0,44.0
1990,1,2986808,2986837,565.0,1.0,1185.0,51.0
1991,1,2986855,2986925,840.0,1.0,1330.0,43.0
1993,1,2986988,2987022,615.0,0.0,1060.0,70.0
1994,1,2987023,2987130,180.0,1.0,585.0,41.0
1995,1,2987131,2987184,775.0,0.0,2106.0,641.0
1996,1,2987246,2987307,1019.0,10.0,1888.0,213.0
1998,1,2987387,2987419,613.0,10.0,1389.0,942.0
1999,1,2987420,2987462,525.0,2.0,905.0,62.0
2002,1,2987742,2987822,260.0,19.0,348.0,230.0
2009,1,2996928,2996973,846.0,640.0,564.0,421.0
2013,1,3003239,3003321,279.0,267.0,305.0,119.0
2066,1,3073699,3073765,338.0,321.0,350.0,26.0
2093,1,3105148,3105206,707.0,473.0,869.0,731.0
2098,1,3113609,3113656,578.0,476.0,445.0,375.0
2139,1,3157510,3157644,200.0,156.0,310.0,147.0
2159,1,3188980,3189056,186.0,165.0,329.0,170.0
2170,1,3196023,3196096,279.0,247.0,200.0,51.0
2172,1,3199612,3199704,215.0,197.0,276.0,114.0
2235,1,3302664,3302715,550.0,496.0,1038.0,205.0
2238,1,3307070,3307143,476.0,451.0,604.0,389.0
2243,1,3310268,3310334,328.0,0.0,511.0,14.0
2244,1,3310546,3310597,917.0,3.0,556.0,64.0
2273,1,3329189,3329265,481.0,473.0,927.0,696.0
2282,1,3342108,3342199,391.0,384.0,686.0,307.0
2296,1,3371004,3371047,1447.0,3.0,1600.0,48.0
2298,1,3371174,3371261,241.0,2.0,656.0,69.0
2299,1,3371316,3371398,450.0,5.0,220.0,17.0
2308,1,3378178,3378295,167.0,153.0,452.0,353.0
2309,1,3379747,3379811,465.0,446.0,1185.0,948.0
2354,1,3426497,3426568,473.0,452.0,362.0,264.0
2372,1,3447937,3447962,610.0,0.0,1870.0,82.0
2373,1,3447980,3448072,486.0,1.0,665.0,11.0
2375,1,3448118,3448155,503.0,1.0,1293.0,30.0
2397,1,3464893,3464967,383.0,326.0,924.0,565.0
2418,1,3507120,3507204,153.0,91.0,182.0,22.0
2437,1,3527889,3527982,1373.0,3.0,2365.0,74.0
2438,1,3527983,3528028,408.0,2.0,978.0,26.0
2451,1,3541079,3541142,215.0,0.0,455.0,6.0
2452,1,3541512,3541552,434.0,2.0,1022.0,18.0
2455,1,3541743,3541834,432.0,3.0,1324.0,29.0
2458,1,3542086,3542153,560.0,6.0,1013.0,97.0
2471,1,3566440,3566509,318.0,0.0,965.0,26.0
2474,1,3567693,3567728,505.0,65.0,539.0,420.0
2476,1,3567852,3567910,504.0,124.0,778.0,705.0
2482,1,3568728,3568789,356.0,0.0,1420.0,20.0
2484,1,3568824,3568885,709.0,0.0,1737.0,33.0
2485,1,3568886,3568928,735.0,1.0,1330.0,29.0
2486,1,3568929,3568985,675.0,1.0,1053.0,37.0
2487,1,3568986,3569069,230.0,0.0,336.0,11.0
2489,1,3569108,3569145,525.0,0.0,987.0,24.0
2529,1,3631496,3631575,302.0,285.0,419.0,398.0
2539,1,3644277,3644343,455.0,324.0,360.0,130.0
2554,1,3663612,3663680,407.0,2.0,903.0,17.0
2557,1,3663890,3663938,594.0,0.0,596.0,9.0
2559,1,3669280,3669374,239.0,208.0,494.0,444.0
2571,1,3689318,3689369,713.0,8.0,1751.0,36.0
2589,1,3712693,3712772,480.0,6.0,1050.0,21.0
2590,1,3712773,3712842,484.0,8.0,1593.0,42.0
2591,1,3712953,3713007,430.0,1.0,1164.0,14.0
2609,1,3775202,3775299,205.0,165.0,360.0,315.0
2698,1,4714033,4714075,765.0,16.0,1303.0,458.0
2699,1,4714297,4714330,990.0,18.0,1179.0,125.0
2701,1,4714428,4714513,317.0,7.0,411.0,119.0
2704,1,4714639,4714743,179.0,1.0,1004.0,68.0
2705,1,4714744,4714855,440.0,8.0,1311.0,115.0
2706,1,4714856,4714898,498.0,3.0,1810.0,278.0
2707,1,4714899,4714954,364.0,4.0,1234.0,44.0
2708,1,4714955,4715036,829.0,10.0,1000.0,42.0
2709,1,4715061,4715092,529.0,18.0,714.0,31.0
2710,1,4715114,4715163,721.0,4.0,972.0,46.0
2711,1,4715164,4715203,654.0,0.0,984.0,103.0
2713,1,4715356,4715387,627.0,7.0,912.0,30.0
2717,1,4715875,4715903,1206.0,7.0,1614.0,86.0
2721,1,4716149,4716190,645.0,0.0,940.0,30.0
2739,1,4772174,4772242,375.0,344.0,552.0,428.0
2842,1,5937188,5937282,432.0,402.0,472.0,453.0
2848,1,5948551,5948626,420.0,400.0,645.0,620.0
2873,1,6051630,6051692,424.0,2.0,952.0,13.0
2875,1,6051754,6051814,394.0,0.0,467.0,8.0
2876,1,6052267,6052331,204.0,0.0,360.0,21.0
2879,1,6052898,6052973,442.0,3.0,1130.0,20.0
2901,1,6126195,6126256,644.0,617.0,1175.0,1140.0
2941,1,6166696,6166745,674.0,636.0,1376.0,1332.0
2944,1,6170013,6170075,680.0,464.0,1027.0,746.0
2961,1,6239463,6239513,410.0,9.0,504.0,14.0
2962,1,6239575,6239644,897.0,5.0,2321.0,152.0
2963,1,6239645,6239723,530.0,9.0,1676.0,40.0
2964,1,6239724,6239764,839.0,8.0,2492.0,68.0
2965,1,6239812,6239879,450.0,5.0,1607.0,60.0
2967,1,6239908,6239947,1176.0,1.0,1659.0,24.0
2968,1,6239948,6240086,223.0,1.0,333.0,2.0
2971,1,6240297,6240339,792.0,11.0,975.0,35.0
2975,1,6240540,6240615,1295.0,13.0,1620.0,59.0
2976,1,6240616,6240657,440.0,3.0,1231.0,28.0
2982,1,6265894,6265992,240.0,2.0,407.0,396.0
2985,1,6266239,6266285,1287.0,4.0,1169.0,1131.0
2986,1,6266286,6266333,519.0,0.0,1838.0,1803.0
2987,1,6266416,6266521,408.0,5.0,1068.0,1042.0
2995,1,6295621,6295694,424.0,0.0,1235.0,16.0
2996,1,6295695,6295746,720.0,2.0,954.0,29.0
2997,1,6295767,6295823,335.0,0.0,432.0,10.0
2998,1,6295863,6295941,385.0,0.0,594.0,9.0
2999,1,6295942,6295976,481.0,3.0,630.0,4.0
3000,1,6295977,6296004,516.0,5.0,804.0,16.0
3001,1,6296065,6296119,240.0,0.0,432.0,5.0
3007,1,6302638,6302691,472.0,8.0,1016.0,410.0
3014,1,6305895,6305979,557.0,27.0,326.0,3.0
3023,1,6309251,6309348,378.0,3.0,773.0,404.0
3025,1,6309390,6309510,396.0,1.0,706.0,477.0
3027,1,6309553,6309624,447.0,3.0,896.0,527.0
3028,1,6309625,6309669,959.0,21.0,2702.0,766.0
3029,1,6309670,6309759,284.0,32.0,663.0,388.0
3034,1,6320289,6320329,474.0,0.0,1215.0,34.0
3035,1,6320330,6320381,414.0,0.0,678.0,19.0
3036,1,6320837,6320900,630.0,3.0,1606.0,34.0
3037,1,6320956,6321016,1429.0,8.0,2898.0,66.0
3039,1,6321334,6321412,405.0,0.0,783.0,14.0
3045,1,6334520,6334571,683.0,663.0,1024.0,988.0
3084,1,6452993,6453101,120.0,5.0,250.0,5.0
3086,1,6453273,6453316,372.0,0.0,437.0,9.0
3088,1,6453514,6453560,495.0,1.0,997.0,17.0
3089,1,6453691,6453733,420.0,1.0,1533.0,23.0
3090,1,6453840,6453887,468.0,3.0,1467.0,34.0
3094,1,6456060,6456150,455.0,428.0,1342.0,1314.0
3098,1,6479671,6479733,392.0,3.0,475.0,25.0
3099,1,6479734,6479797,520.0,0.0,1095.0,174.0
3102,1,6479864,6479948,378.0,3.0,754.0,196.0
3103,1,6479960,6480045,322.0,4.0,810.0,109.0
3105,1,6480483,6480563,390.0,9.0,743.0,516.0
3106,1,6480890,6480936,474.0,9.0,1303.0,801.0
3107,1,6484829,6484902,318.0,3.0,899.0,47.0
3119,1,6507284,6507337,294.0,2.0,453.0,35.0
3120,1,6507345,6507403,391.0,3.0,488.0,19.0
3123,1,6508840,6508888,630.0,3.0,929.0,30.0
3125,1,6509080,6509146,266.0,0.0,343.0,8.0
3128,1,6511938,6512019,312.0,285.0,408.0,35.0
3131,1,6514848,6514927,250.0,13.0,580.0,31.0
3142,1,6530992,6531062,889.0,825.0,1286.0,1221.0
3143,1,6531063,6531166,272.0,241.0,757.0,742.0
3144,1,6531472,6531532,756.0,648.0,1015.0,987.0
3146,1,6531574,6531616,546.0,533.0,1506.0,1482.0
3147,1,6531617,6531664,655.0,606.0,1648.0,1608.0
3152,1,6533457,6533539,351.0,334.0,332.0,328.0
3158,1,6545373,6545412,790.0,4.0,1119.0,36.0
3159,1,6545510,6545538,770.0,2.0,845.0,29.0
3160,1,6545539,6545608,396.0,3.0,561.0,15.0
3174,1,6550943,6551004,420.0,3.0,740.0,19.0
3180,1,6557667,6557748,322.0,1.0,665.0,16.0
3182,1,6557779,6557850,210.0,0.0,249.0,16.0
3190,1,6566480,6566538,411.0,372.0,539.0,526.0
3218,1,6663035,6663093,324.0,0.0,924.0,18.0
3224,1,6673172,6673224,228.0,0.0,906.0,15.0
