,chr,start,end,nbl2-V,healthy2-V,nbl1-V,nbl0-V,healthy1-V,healthy0-V
57,1,955229,955260,0.0357,0.0,0.0235,0.0174,0.0,0.0
58,1,955275,955304,0.05,0.0093,0.0333,0.0132,0.0,0.0
59,1,955511,955557,0.0694,0.0112,0.0139,0.0291,0.0152,0.0
60,1,955572,955626,0.0258,0.0097,0.0228,0.0189,0.0153,0.0047
61,1,955647,955695,0.0395,0.0,0.0483,0.0171,0.0,0.0052
62,1,968886,968923,0.0521,0.0,0.0581,0.0528,0.0033,0.0299
63,1,969237,969305,0.0667,0.0,0.0091,0.046,0.0,0.1286
64,1,969547,969581,0.0833,0.1744,0.0752,0.0491,0.0,0.1
65,1,975517,975579,0.0471,0.0,0.3485,0.1524,0.0167,0.0
66,1,975833,975880,0.0769,0.0,0.0923,0.0182,0.0286,0.0324
67,1,976050,976101,0.127,0.0,0.0238,0.0152,0.0,0.0
68,1,976959,977033,0.968,0.9391,0.9683,0.9429,0.9702,0.9341
69,1,979410,979501,0.931,0.991,0.9744,0.8424,1.0,1.0
70,1,994599,994657,0.25,0.0,0.0866,0.0602,0.0885,0.0079
71,1,994825,994893,0.0089,0.0,0.0302,0.0072,0.0,0.0
72,1,995033,995095,0.0278,0.0,0.0266,0.0118,0.0,0.0
73,1,995096,995131,0.0118,0.0,0.0462,0.0253,0.0,0.0
74,1,995132,995169,0.0348,0.0,0.0231,0.0223,0.0,0.0039
75,1,1002733,1002765,0.9605,0.9316,0.9006,0.9636,0.9009,0.9233
76,1,1004708,1004789,0.0,0.0,0.0143,0.0,0.0,0.0154
77,1,1005190,1005261,0.0417,0.4699,0.188,0.5444,0.4632,0.3438
78,1,1007423,1007480,0.1042,0.9062,0.0469,0.4727,0.7022,0.8201
79,1,1017406,1017457,0.9864,0.9681,0.9672,0.9466,0.9011,0.9602
80,1,1018105,1018173,0.9636,0.9586,0.9617,0.9534,0.9923,0.9692
81,1,1018229,1018299,0.9937,0.9733,0.985,0.9546,0.9529,0.9814
82,1,1023891,1023975,0.8333,0.9535,0.9556,0.9306,0.9231,0.901
83,1,1047406,1047474,0.9733,0.9765,0.9561,0.9609,0.9266,0.9059
84,1,1051321,1051371,0.0381,0.0061,0.0122,0.0204,0.0,0.0
85,1,1051575,1051639,0.0,0.0,0.0,0.0189,0.0,0.0
86,1,1051763,1051795,0.0462,0.0,0.0169,0.018,0.0,0.0
87,1,1051796,1051834,0.034,0.0,0.0124,0.0101,0.0,0.0
88,1,1052116,1052186,0.0495,0.0,0.0312,0.0241,0.0,0.0
89,1,1072469,1072513,0.2105,0.0364,0.9587,0.9459,0.0895,0.0279
90,1,1080084,1080155,0.0833,0.4848,0.9065,0.6935,0.4755,0.3925
91,1,1080599,1080700,0.1571,0.9351,0.9617,0.9479,0.9216,0.8571
92,1,1099388,1099461,0.0714,0.93,0.9024,0.9026,0.9714,0.9149
93,1,1118076,1118151,0.0333,0.525,0.9664,0.7652,0.5949,0.6
94,1,1118399,1118444,0.0083,0.163,0.9444,0.8993,0.078,0.0581
95,1,1133025,1133071,0.3143,1.0,0.5448,0.7315,0.96,1.0
96,1,1136771,1136809,0.0684,0.0,0.0401,0.0474,0.0,0.009
97,1,1136829,1136895,0.1034,0.0045,0.0273,0.0421,0.0083,0.0
98,1,1141766,1141799,0.0923,0.0207,0.2273,0.7016,0.0123,0.0
99,1,1141800,1141854,0.0286,0.0345,0.2294,0.7179,0.0062,0.0039
100,1,1146709,1146790,0.2545,0.9793,0.9657,0.5379,0.98,1.0
101,1,1146791,1146887,0.1961,0.9667,0.9708,0.8136,0.936,0.9386
102,1,1149104,1149178,0.25,0.0672,0.9286,0.5529,0.1623,0.0804
103,1,1157522,1157589,0.981,0.8286,0.9385,0.9678,0.7758,0.9202
104,1,1163629,1163717,1.0,0.9901,0.9562,0.9876,0.9661,0.972
105,1,1167218,1167255,0.0375,0.0,0.0077,0.0176,0.0,0.0
106,1,1167305,1167338,0.0276,0.0,0.0233,0.017,0.0,0.0235
107,1,1167431,1167514,0.05,0.0,0.0088,0.0119,0.0,0.0
108,1,1167557,1167601,0.0212,0.0,0.0356,0.0264,0.0,0.0093
109,1,1167918,1167954,0.0321,0.0062,0.0429,0.0225,0.0179,0.0057
110,1,1168410,1168456,0.974,0.8229,0.9643,0.9779,0.7293,0.7922
111,1,1168687,1168728,0.9815,0.9573,0.9887,0.9769,0.8846,0.9783
112,1,1168729,1168777,0.8986,0.8571,0.8813,0.8912,0.8831,0.8516
113,1,1168810,1168869,0.9727,0.975,1.0,0.9807,0.9704,0.9677
114,1,1168876,1168908,0.9894,0.9652,0.9333,0.9687,0.9773,0.9243
115,1,1178403,1178492,0.5333,0.9667,0.965,0.5912,0.8783,0.9346
116,1,1179761,1179808,0.0667,0.8,0.9667,0.6383,0.925,0.931
117,1,1181725,1181790,0.0133,0.26,0.3444,0.1009,0.0682,0.2923
118,1,1182135,1182179,0.0186,0.039,0.0833,0.0245,0.0058,0.0
119,1,1182215,1182247,0.05,0.0,0.0282,0.0353,0.0132,0.0201
120,1,1182396,1182447,0.0439,0.1491,0.0977,0.0665,0.2258,0.1528
121,1,1208858,1208906,0.0376,0.0,0.0213,0.0172,0.0,0.0
122,1,1208907,1208966,0.0067,0.0,0.0058,0.0181,0.0031,0.0
123,1,1209020,1209102,0.0179,0.0,0.0357,0.013,0.0,0.0
124,1,1209103,1209154,0.0272,0.0095,0.042,0.0144,0.0,0.0
125,1,1228868,1228909,1.0,0.9895,0.9767,0.9757,0.9617,0.9615
126,1,1242847,1242938,0.0097,0.0,0.0084,0.0059,0.0117,0.0
127,1,1242982,1243020,0.0229,0.0,0.0375,0.0132,0.0,0.0253
128,1,1243261,1243304,0.0091,0.0,0.02,0.0194,0.0,0.0
129,1,1243349,1243400,0.0147,0.0132,0.0321,0.006,0.0,0.0
130,1,1243401,1243452,0.0273,0.0083,0.0321,0.016,0.0,0.0
131,1,1243453,1243497,0.0286,0.0,0.0125,0.0078,0.0,0.0
132,1,1243852,1243919,0.0341,0.0,0.0096,0.0211,0.0,0.0
133,1,1244037,1244139,0.0,0.0,0.0215,0.0108,0.0,0.0
134,1,1244531,1244585,0.0317,0.006,0.0245,0.014,0.0,0.0
135,1,1244586,1244643,0.0267,0.0,0.0412,0.0088,0.0129,0.0074
136,1,1245147,1245175,0.7188,0.8722,0.7917,0.1425,0.8524,0.9073
137,1,1248089,1248155,0.9688,0.9467,0.9604,0.9557,0.9583,1.0
138,1,1249367,1249459,1.0,0.9765,0.9271,0.8725,0.9899,0.9429
139,1,1259842,1259908,0.0214,0.0087,0.0303,0.015,0.0039,0.0
140,1,1259944,1260005,0.0362,0.0,0.0539,0.0225,0.0,0.0
141,1,1260336,1260391,0.0556,0.0,0.0214,0.0171,0.0,0.0
142,1,1268928,1268984,0.906,0.9853,0.9529,0.6721,0.9186,0.915
143,1,1272477,1272561,0.9767,0.9425,0.9816,0.9765,0.9859,0.9664
144,1,1284488,1284535,0.0,0.0056,0.0106,0.0223,0.0,0.0035
145,1,1284536,1284574,0.0208,0.0067,0.0185,0.0187,0.0,0.0088
146,1,1284943,1284985,0.04,0.0074,0.0281,0.0142,0.0,0.0
147,1,1285098,1285180,0.0325,0.0,0.0107,0.0167,0.0,0.0191
148,1,1285181,1285276,0.025,0.0,0.0385,0.0,0.0,0.0
149,1,1289948,1290012,0.0,0.2031,0.2686,0.9548,0.1925,0.1755
150,1,1290528,1290565,0.1071,0.0433,0.0286,0.9026,0.0625,0.0293
151,1,1290965,1291011,0.0333,0.026,0.0396,0.0862,0.0,0.0054
152,1,1295476,1295564,0.88,0.9,0.44,0.8974,0.8593,0.8723
153,1,1310413,1310449,0.0303,0.0,0.0208,0.0219,0.0,0.0039
154,1,1310493,1310581,0.03,0.0,0.0364,0.0031,0.0,0.0222
155,1,1310582,1310621,0.0333,0.0,0.0323,0.0269,0.0,0.0
156,1,1321786,1321868,0.9658,0.7857,0.9882,0.9423,0.7733,0.8
157,1,1322734,1322782,0.8977,0.8473,0.8874,0.8905,0.8824,0.8604
158,1,1334374,1334421,0.0211,0.0,0.0556,0.0131,0.0,0.0
159,1,1334864,1334915,0.0287,0.0,0.0411,0.015,0.0,0.0
160,1,1341985,1342061,0.0667,0.0412,0.0,0.0298,0.0353,0.0222
161,1,1342201,1342261,0.0469,0.0,0.0357,0.0339,0.0,0.0223
162,1,1342274,1342391,0.0,0.0,0.0278,0.0128,0.0,0.0
163,1,1355411,1355486,0.0417,0.0756,0.7689,0.9467,0.0798,0.0386
164,1,1355487,1355586,0.0164,0.0176,0.2764,0.9527,0.0,0.0
165,1,1355770,1355867,0.1645,0.125,0.6667,0.9607,0.1202,0.125
166,1,1355885,1355957,0.1905,0.5813,0.7662,0.9024,0.6149,0.5205
167,1,1363066,1363106,0.0381,0.0182,0.0192,0.0173,0.0054,0.0
168,1,1363124,1363169,0.0299,0.0118,0.0245,0.0206,0.0,0.0
169,1,1370941,1370972,0.0714,0.0,0.0217,0.0168,0.0158,0.0
170,1,1370973,1371027,0.0507,0.0,0.0135,0.0124,0.0,0.0
171,1,1371326,1371405,0.0333,0.0,0.025,0.1208,0.05,0.0275
172,1,1374653,1374737,0.5462,0.9714,0.98,0.977,0.9556,0.9724
173,1,1375013,1375141,0.1198,0.5792,0.9604,0.978,0.758,0.9492
174,1,1375269,1375300,0.0952,0.9189,0.9769,0.9794,0.91,0.8836
175,1,1388334,1388413,0.0,0.9333,0.9684,0.8759,0.92,1.0
176,1,1407173,1407233,0.0433,0.0,0.0347,0.0156,0.0,0.0
177,1,1407234,1407344,0.0093,0.0,0.0,0.0058,0.0,0.0
178,1,1446931,1446992,0.0104,0.0,0.0167,0.0171,0.0081,0.0
179,1,1447557,1447617,0.0278,0.0,0.008,0.0125,0.0,0.0
180,1,1449135,1449201,0.9167,0.922,0.9155,0.0798,0.9007,0.8904
181,1,1455586,1455704,0.9846,1.0,0.992,0.9716,0.9455,1.0
182,1,1470944,1470980,0.9867,0.9875,0.9762,0.9702,0.949,0.9091
183,1,1471523,1471580,0.9235,0.9533,0.9226,0.8346,0.9156,0.9053
184,1,1475245,1475284,0.0314,0.0154,0.04,0.5534,0.0244,0.0296
185,1,1475941,1476019,0.0238,0.0,0.0441,0.0134,0.0504,0.0143
186,1,1483257,1483348,0.9802,0.9767,0.9638,0.9458,0.95,1.0
187,1,1510110,1510165,0.0047,0.0058,0.0238,0.0201,0.0038,0.0
188,1,1510407,1510525,0.0,0.0,0.0143,0.0037,0.0,0.0
189,1,1535478,1535543,0.0,0.0,0.0312,0.0242,0.0,0.0
190,1,1535544,1535597,0.0417,0.0148,0.0476,0.0278,0.0,0.0058
191,1,1551415,1551459,0.0417,0.0,0.0185,0.0108,0.0,0.0
192,1,1551521,1551572,0.0074,0.0,0.0466,0.015,0.0039,0.01
193,1,1551642,1551681,0.0267,0.0,0.024,0.0141,0.0,0.0
194,1,1551748,1551801,0.0379,0.0,0.049,0.0195,0.0,0.006
195,1,1559030,1559113,0.9667,0.9611,0.9651,0.9585,0.9556,0.9588
196,1,1562325,1562366,0.9455,0.976,0.9478,0.9346,0.9417,0.9662
197,1,1562946,1563011,0.8333,0.6364,0.8944,0.4577,0.5714,0.5704
198,1,1563811,1563895,0.9306,0.9474,0.9806,0.9475,0.9074,0.9833
199,1,1564794,1564856,0.9784,0.0583,0.9429,0.8956,0.0812,0.1509
200,1,1566130,1566196,0.9565,0.0756,0.832,0.9406,0.1205,0.0804
201,1,1567632,1567711,0.0764,0.0476,0.9206,0.8349,0.0682,0.0365
202,1,1590440,1590505,0.0272,0.0,0.0148,0.0357,0.0,0.0
203,1,1592168,1592240,1.0,0.8475,0.9756,0.9562,0.9185,0.9286
204,1,1598708,1598775,0.9474,0.9891,0.9561,0.9621,0.986,0.9493
205,1,1609009,1609076,1.0,0.8102,0.9542,0.9643,0.8929,0.8776
206,1,1611490,1611595,0.9875,0.95,0.9633,0.9762,1.0,0.9286
207,1,1709711,1709766,0.0238,0.0,0.0196,0.0267,0.0,0.0
208,1,1709767,1709858,0.0,0.0,0.0288,0.0081,0.0,0.0
209,1,1710208,1710261,0.0167,0.0,0.0457,0.0135,0.0039,0.026
210,1,1710262,1710305,0.0196,0.0,0.0385,0.0124,0.0,0.0145
211,1,1714001,1714082,0.989,0.056,0.9845,0.9753,0.0435,0.0381
212,1,1819147,1819213,0.9556,0.9432,0.9767,0.9474,0.9487,0.9315
213,1,1821530,1821575,0.0247,0.0,0.0148,0.0157,0.0,0.0
214,1,1821586,1821690,0.0167,0.0,0.0069,0.0075,0.0,0.0
215,1,1821691,1821733,0.0688,0.0,0.0304,0.0293,0.0,0.0
216,1,1821787,1821829,0.0545,0.0091,0.0314,0.0161,0.0,0.024
217,1,1821830,1821863,0.0312,0.0,0.0147,0.0257,0.0,0.0207
218,1,1821864,1821902,0.0208,0.0,0.0161,0.0229,0.0,0.0
219,1,1821953,1821999,0.0375,0.0,0.0186,0.0145,0.0252,0.0
220,1,1822040,1822105,0.025,0.0,0.0242,0.0164,0.0,0.0
221,1,1822375,1822418,0.037,0.0,0.0215,0.0149,0.0,0.0
222,1,1850824,1850901,0.0234,0.0,0.0169,0.0026,0.0,0.0
223,1,1851255,1851316,0.0365,0.1389,0.1037,0.0222,0.0903,0.0797
224,1,1935191,1935239,0.0531,0.0241,0.6423,0.0366,0.0189,0.0142
225,1,1935240,1935294,0.0411,0.0,0.6166,0.0387,0.0,0.0
226,1,1950545,1950582,0.0863,0.0,0.0387,0.0564,0.0392,0.0667
227,1,1950698,1950817,0.0625,0.0,0.0089,0.0268,0.0,0.0353
228,1,1950818,1950877,0.2,0.0045,0.025,0.0428,0.0,0.0
229,1,1951107,1951161,0.073,0.0,0.0434,0.3579,0.0,0.0316
230,1,1951162,1951219,0.0889,0.0095,0.1154,0.2851,0.0,0.0
231,1,1951220,1951255,0.2,0.0,0.1692,0.0494,0.0485,0.045
232,1,1953038,1953108,0.1799,0.9375,0.9714,0.2093,0.9416,0.9486
233,1,1957219,1957280,0.0686,0.4667,0.9204,0.0657,0.2381,0.7308
234,1,1976225,1976286,0.037,0.0,0.2706,0.0805,0.0118,0.0
235,1,1976336,1976381,0.0658,0.0,0.0233,0.0292,0.0,0.0083
236,1,1976547,1976644,0.0159,0.0952,0.099,0.0588,0.0683,0.1069
237,1,1981724,1981798,0.7347,0.0,0.0265,0.6536,0.0,0.0
238,1,1981799,1981875,0.6136,0.0,0.0426,0.7737,0.0,0.0
239,1,1981876,1981922,0.0707,0.0,0.0172,0.4325,0.0,0.0
240,1,1981943,1982023,0.5594,0.0033,0.0171,0.4452,0.0081,0.0
241,1,1982033,1982083,0.1696,0.0,0.0571,0.4533,0.0,0.0
242,1,1982261,1982341,0.1389,0.0,0.1719,0.7389,0.0,0.0
243,1,1982348,1982390,0.0088,0.0196,0.3939,0.7689,0.0,0.0333
244,1,2126148,2126200,0.0227,0.0,0.0179,0.0158,0.0,0.0417
245,1,2132117,2132207,0.8333,0.92,0.9771,0.9283,1.0,0.9383
246,1,2136909,2136953,0.9712,0.0,0.1051,0.891,0.0029,0.0033
247,1,2137136,2137185,0.9929,0.0748,0.797,0.9702,0.0519,0.0952
248,1,2137257,2137317,0.9535,0.25,0.9221,0.972,0.17,0.2
249,1,2158481,2158523,0.0,0.0648,0.0586,0.0297,0.059,0.0395
250,1,2159207,2159258,0.034,0.0046,0.0268,0.0162,0.0,0.0451
251,1,2159259,2159288,0.0145,0.0056,0.0172,0.025,0.0,0.0
252,1,2159401,2159462,0.0111,0.0,0.0222,0.0154,0.0,0.0095
253,1,2159672,2159732,0.0093,0.0,0.0286,0.0199,0.0034,0.0051
254,1,2159733,2159765,0.0185,0.0,0.0079,0.0157,0.0088,0.0
255,1,2159766,2159812,0.0124,0.0065,0.0222,0.0191,0.0023,0.0041
256,1,2159813,2159843,0.02,0.0154,0.0143,0.0219,0.0,0.0
257,1,2159844,2159883,0.0123,0.0,0.0269,0.0232,0.0165,0.0
258,1,2159909,2159939,0.0238,0.0,0.0374,0.0131,0.0088,0.0
259,1,2159988,2160050,0.025,0.0,0.0176,0.0353,0.0,0.0
260,1,2160051,2160083,0.0,0.0147,0.0229,0.0283,0.0119,0.0
261,1,2160195,2160248,0.0075,0.0,0.0378,0.019,0.0,0.0
262,1,2160309,2160386,0.0404,0.0,0.0947,0.0326,0.0,0.0341
263,1,2214209,2214307,1.0,0.9273,0.9923,0.9658,0.92,0.9857
264,1,2229596,2229689,1.0,0.963,0.9618,1.0,0.937,0.9167
265,1,2238058,2238099,0.9721,0.984,0.9739,0.9677,0.9795,0.9647
266,1,2245963,2246015,0.0517,0.0435,0.2833,0.0875,0.0276,0.0
267,1,2246121,2246157,0.0733,0.0,0.0564,0.021,0.0,0.0
268,1,2246310,2246349,0.0273,0.0047,0.0222,0.0128,0.0,0.0
269,1,2246817,2246899,0.0353,0.0522,0.0345,0.0736,0.0,0.0
270,1,2249316,2249386,1.0,1.0,0.9818,0.9787,0.9855,0.9921
271,1,2249426,2249503,0.98,0.8833,0.9688,0.9706,0.976,0.9333
272,1,2255925,2256028,0.8696,0.869,0.9423,0.8983,0.9935,0.9722
273,1,2288140,2288233,0.9818,0.9857,0.9846,0.9167,0.9923,0.9143
274,1,2316410,2316465,1.0,0.9833,0.9769,0.3542,0.9683,0.9792
275,1,2316472,2316546,0.9206,0.9556,0.8039,0.0777,0.9444,0.9702
276,1,2323456,2323497,0.0,0.0,0.0143,0.0169,0.0067,0.0
277,1,2323522,2323592,0.0379,0.013,0.0246,0.0208,0.0038,0.0
278,1,2323593,2323661,0.0385,0.0,0.0556,0.0074,0.0,0.0
279,1,2343707,2343809,0.0185,0.0,0.0111,0.0054,0.0,0.0
280,1,2343820,2343914,0.0214,0.0,0.0227,0.0195,0.0,0.0
281,1,2343933,2343975,0.0133,0.0,0.0513,0.0318,0.0,0.0
282,1,2344448,2344514,0.0111,0.0185,0.01,0.0094,0.0074,0.0
283,1,2344561,2344622,0.0316,0.0,0.02,0.0099,0.0,0.0
284,1,2365427,2365498,0.2993,0.75,0.5885,0.6438,0.8178,0.8027
285,1,2372669,2372770,0.5152,0.9762,0.7941,0.8916,0.9537,0.9259
286,1,2374822,2374905,0.2737,0.0,0.095,0.048,0.06,0.0
287,1,2375098,2375124,0.02,0.0114,0.0211,0.0181,0.0,0.0
288,1,2426333,2426390,0.8278,0.951,0.9424,0.9564,0.9553,0.9235
289,1,2428256,2428332,0.7656,0.9733,0.9818,0.9432,0.94,0.9419
290,1,2433641,2433704,0.956,0.9673,0.9498,0.9724,0.954,0.9755
291,1,2435512,2435592,0.4286,0.6146,0.9265,0.9026,0.6322,0.5741
292,1,2449577,2449626,0.9833,0.9951,0.971,0.9764,0.9818,0.9821
293,1,2457523,2457602,0.0175,0.0,0.0323,0.0101,0.0,0.0
294,1,2457851,2457881,0.0294,0.0,0.0,0.0125,0.0,0.0
295,1,2460813,2460903,0.1429,0.0159,0.4714,0.9794,0.0268,0.029
296,1,2461001,2461039,0.0268,0.0,0.399,0.9665,0.0,0.0
297,1,2461171,2461237,0.0286,0.0,0.2948,0.937,0.0,0.0
298,1,2461238,2461271,0.0625,0.0,0.1053,0.9756,0.0,0.0065
299,1,2461643,2461687,0.0602,0.0048,0.0977,0.9812,0.0,0.0
300,1,2461705,2461761,0.0123,0.0067,0.0535,0.9811,0.0,0.0
301,1,2461762,2461800,0.0256,0.0222,0.0388,0.9719,0.0,0.0033
302,1,2472167,2472197,0.0111,0.0069,0.6945,0.2878,0.005,0.0122
303,1,2472413,2472481,0.037,0.0208,0.8007,0.0952,0.0,0.0
304,1,2477774,2477847,0.0294,0.0,0.0379,0.0179,0.0105,0.0
305,1,2477848,2477880,0.0588,0.0111,0.0268,0.0194,0.0072,0.0079
306,1,2478166,2478220,0.0217,0.0,0.0486,0.0129,0.0,0.025
307,1,2560169,2560266,0.0204,0.033,0.0514,0.0336,0.0071,0.0238
308,1,2574188,2574254,0.0125,0.0,0.0125,0.0199,0.0,0.0
309,1,2574652,2574717,0.0196,0.0238,0.0538,0.0312,0.0,0.0
310,1,2574775,2574846,0.0443,0.0,0.0254,0.0124,0.0,0.0263
311,1,2706349,2706410,0.0544,0.0143,0.0437,0.0957,0.0402,0.0635
312,1,2706524,2706593,0.0227,0.0684,0.0242,0.0925,0.0168,0.0
313,1,2706594,2706636,0.1429,0.0857,0.1571,0.7753,0.0743,0.1842
314,1,2706637,2706742,0.0417,0.0476,0.0,0.1351,0.0,0.0417
315,1,2796254,2796331,0.1,0.96,0.28,0.5058,0.929,0.9294
316,1,2811112,2811192,0.5273,0.8,0.6688,0.7609,0.9348,0.949
317,1,2847220,2847286,0.1333,0.8788,0.1695,0.1713,0.8786,0.9268
318,1,2863739,2863844,0.0182,0.3619,0.0133,0.044,0.3538,0.725
319,1,2979276,2979348,0.0714,0.9116,0.0057,0.1228,0.9563,0.7581
320,1,2984735,2984774,0.0667,0.0,0.08,0.2487,0.0,0.0106
321,1,2985121,2985209,0.0162,0.0057,0.0955,0.1203,0.0035,0.0
322,1,2985210,2985277,0.16,0.0,0.0718,0.0962,0.0,0.0205
323,1,2985278,2985365,0.0139,0.0,0.0507,0.3161,0.0,0.0
324,1,2985923,2985951,0.024,0.0108,0.0529,0.8205,0.0086,0.0065
325,1,2986031,2986058,0.2632,0.0,0.075,0.3474,0.0032,0.0051
326,1,2986059,2986083,0.0364,0.0075,0.0109,0.5679,0.0037,0.0086
327,1,2986762,2986807,0.0615,0.0,0.0345,0.0543,0.0,0.0
328,1,2986808,2986837,0.0211,0.0053,0.0255,0.0503,0.0,0.0
329,1,2986855,2986925,0.02,0.0028,0.013,0.038,0.0,0.0
330,1,2986988,2987022,0.05,0.0,0.0698,0.0681,0.0,0.0
331,1,2987023,2987130,0.0667,0.0,0.0519,0.0769,0.0133,0.0
332,1,2987131,2987184,0.0333,0.0,0.043,0.3783,0.0,0.0
333,1,2987246,2987307,0.0132,0.017,0.0498,0.1723,0.0052,0.0044
334,1,2987387,2987419,0.05,0.0086,0.1368,0.8897,0.0,0.0275
335,1,2987420,2987462,0.0444,0.0067,0.0122,0.0965,0.0043,0.0
336,1,2987742,2987822,0.08,0.1571,0.1714,0.9386,0.0455,0.0375
337,1,2996928,2996973,0.2424,0.7798,0.7626,0.8467,0.7351,0.7661
338,1,3003239,3003321,0.05,0.9375,0.3917,0.4828,0.94,0.9826
339,1,3073699,3073765,0.0167,0.9375,0.1294,0.0683,0.9708,0.9339
340,1,3105148,3105206,0.25,0.65,0.7762,0.9577,0.629,0.7092
341,1,3113609,3113656,0.4769,0.8588,0.9043,0.9057,0.8294,0.7941
342,1,3157510,3157644,0.1857,0.8833,0.3909,0.7,0.9429,0.5286
343,1,3188980,3189056,0.3889,0.9333,0.4957,0.575,0.7679,0.9412
344,1,3196023,3196096,0.0857,0.8296,0.0926,0.3874,0.9275,0.9467
345,1,3199612,3199704,0.1,0.9778,0.2476,0.686,0.8333,0.975
346,1,3302664,3302715,0.0667,0.8389,0.35,0.1746,0.9045,0.9733
347,1,3307070,3307143,0.0,0.95,0.2655,0.8527,0.9636,0.9355
348,1,3310268,3310334,0.025,0.0,0.0696,0.0127,0.0,0.0
349,1,3310546,3310597,0.1852,0.0,0.0714,0.0933,0.0056,0.0034
350,1,3329189,3329265,0.7222,0.9789,0.4611,0.8479,0.9689,0.9956
